universe_parse_status,correction_action_or_not,count
body_unavailable,not_correction,3
body_unavailable,zip_unparseable_requires_source_recovery,39
extracted,accepted_high_validated_design_only,15
extracted,body_confirms_candidate_but_below_high,34
extracted,no_link_insufficient_evidence,11
extracted,no_link_original_not_found,34
extracted,rejected_wrong_candidate_quarantined,15
label_no_value,body_confirms_candidate_but_below_high,3
label_no_value,no_link_insufficient_evidence,1
label_no_value,no_link_original_not_found,3
label_no_value,not_correction,193
no_label_match,accepted_high_validated_design_only,2
no_label_match,body_confirms_candidate_but_below_high,3
no_label_match,no_link_cross_category_blocked,1
no_label_match,no_link_insufficient_evidence,3
no_label_match,not_correction,500
no_label_match,rejected_wrong_candidate_quarantined,2
