worklist_id,shard_id,review_bucket,rcept_no,parse_status,taxonomy_root_cause,correction_confidence_5tier,blocked_action_boundary
WL-00001,SHARD-correction_manual_review,correction_manual_review,20100211900740,extracted,,medium_needs_manual,manual_correction_review_only_non_authoritative
WL-00002,SHARD-correction_manual_review,correction_manual_review,20100311900027,extracted,,medium_needs_manual,manual_correction_review_only_non_authoritative
WL-00003,SHARD-correction_manual_review,correction_manual_review,20100319901646,extracted,,medium_needs_manual,manual_correction_review_only_non_authoritative
WL-00004,SHARD-correction_manual_review,correction_manual_review,20100322900199,extracted,,medium_needs_manual,manual_correction_review_only_non_authoritative
WL-00005,SHARD-correction_manual_review,correction_manual_review,20100331902855,extracted,,high_validated,manual_correction_review_only_non_authoritative
WL-00111,SHARD-mixed_or_multi_blocker,mixed_or_multi_blocker,20220802600359,no_label_match,title_body_mismatch,,manual_triage_only
WL-00112,SHARD-parser_generic_or_contextual_label,parser_generic_or_contextual_label,20100107900091,no_label_match,only_generic_or_contextual_label,,requires_future_parser_design_verdict
WL-00113,SHARD-parser_generic_or_contextual_label,parser_generic_or_contextual_label,20100121900059,no_label_match,only_generic_or_contextual_label,,requires_future_parser_design_verdict
WL-00114,SHARD-parser_generic_or_contextual_label,parser_generic_or_contextual_label,20100204900181,no_label_match,only_generic_or_contextual_label,,requires_future_parser_design_verdict
WL-00115,SHARD-parser_generic_or_contextual_label,parser_generic_or_contextual_label,20100219900736,no_label_match,only_generic_or_contextual_label,,requires_future_parser_design_verdict
WL-00116,SHARD-parser_generic_or_contextual_label,parser_generic_or_contextual_label,20100311901592,no_label_match,only_generic_or_contextual_label,,requires_future_parser_design_verdict
WL-00611,SHARD-parser_table_or_attachment_context,parser_table_or_attachment_context,20100104800008,label_no_value,label_present_but_attachment_or_table_context_required,,requires_future_parser_design_verdict
WL-00612,SHARD-parser_table_or_attachment_context,parser_table_or_attachment_context,20100121800416,label_no_value,label_present_but_attachment_or_table_context_required,,requires_future_parser_design_verdict
WL-00613,SHARD-parser_table_or_attachment_context,parser_table_or_attachment_context,20100208800004,label_no_value,label_present_but_attachment_or_table_context_required,,requires_future_parser_design_verdict
WL-00614,SHARD-parser_table_or_attachment_context,parser_table_or_attachment_context,20100308800776,label_no_value,label_present_but_attachment_or_table_context_required,,requires_future_parser_design_verdict
WL-00615,SHARD-parser_table_or_attachment_context,parser_table_or_attachment_context,20100310800118,label_no_value,label_present_but_attachment_or_table_context_required,,requires_future_parser_design_verdict
WL-00781,SHARD-parser_unhandled_format,parser_unhandled_format,20100305800323,label_no_value,label_present_but_value_in_unhandled_format,,requires_future_parser_design_verdict
WL-00782,SHARD-parser_unhandled_format,parser_unhandled_format,20100426800466,label_no_value,label_present_but_value_in_unhandled_format,,requires_future_parser_design_verdict
WL-00783,SHARD-parser_unhandled_format,parser_unhandled_format,20101230900335,label_no_value,label_present_but_value_in_unhandled_format,,requires_future_parser_design_verdict
WL-00784,SHARD-parser_unhandled_format,parser_unhandled_format,20110412800376,label_no_value,label_present_but_value_in_unhandled_format,,requires_future_parser_design_verdict
WL-00785,SHARD-parser_unhandled_format,parser_unhandled_format,20111013900324,label_no_value,label_present_but_value_in_unhandled_format,,requires_future_parser_design_verdict
WL-00804,SHARD-rejected_wrong_candidate_quarantine,rejected_wrong_candidate_quarantine,20100428900278,extracted,,rejected_wrong_candidate,quarantine_review_only
WL-00805,SHARD-rejected_wrong_candidate_quarantine,rejected_wrong_candidate_quarantine,20110323900723,extracted,,rejected_wrong_candidate,quarantine_review_only
WL-00806,SHARD-rejected_wrong_candidate_quarantine,rejected_wrong_candidate_quarantine,20110323900724,extracted,,rejected_wrong_candidate,quarantine_review_only
WL-00807,SHARD-rejected_wrong_candidate_quarantine,rejected_wrong_candidate_quarantine,20110331902711,extracted,,rejected_wrong_candidate,quarantine_review_only
WL-00808,SHARD-rejected_wrong_candidate_quarantine,rejected_wrong_candidate_quarantine,20200406900994,extracted,,rejected_wrong_candidate,quarantine_review_only
WL-00821,SHARD-source_recovery_required,source_recovery_required,20150122900284,body_unavailable,,no_link,requires_separate_source_recovery_verdict_and_download_approval
WL-00822,SHARD-source_recovery_required,source_recovery_required,20150128900203,body_unavailable,,no_link,requires_separate_source_recovery_verdict_and_download_approval
WL-00823,SHARD-source_recovery_required,source_recovery_required,20150323600022,body_unavailable,,no_link,requires_separate_source_recovery_verdict_and_download_approval
WL-00824,SHARD-source_recovery_required,source_recovery_required,20150421900128,body_unavailable,,medium_needs_manual,requires_separate_source_recovery_verdict_and_download_approval
WL-00825,SHARD-source_recovery_required,source_recovery_required,20150514901020,body_unavailable,,low_needs_manual,requires_separate_source_recovery_verdict_and_download_approval
