bucket,value,count,mean,median,hit_rate,sharpe_like
d013_state,unknown_not_in_s000_artifact,1622,0.10016527582786788,0.04967322698109925,0.6664611590628853,1.6671850600740685
kospi_day,down,726,0.13398450571937942,0.051169588832245344,0.6721763085399449,1.6263589481445677
kospi_day,up_or_flat,896,0.07276264089345118,0.0463017625540405,0.6618303571428571,2.2838242724318416
drop_type,market_drop,87,0.414512866395843,0.1092272727272727,0.7816091954022989,1.9586435260030828
drop_type,stock_specific,1535,0.08234883258395007,0.0466011560693641,0.6599348534201954,2.333880311795263
foreign_flow,foreign_net_sell,1146,0.09837527779213177,0.0561848471986418,0.6893542757417103,2.688404047803169
foreign_flow,foreign_not_sell,476,0.1044748089139048,0.032479603891367004,0.6113445378151261,1.0976919620665124
institution_flow,institution_net_sell,1005,0.11403948937928596,0.044827067669173,0.6517412935323383,1.5608792713787956
institution_flow,institution_not_sell,617,0.07756627320359698,0.060306027820711,0.6904376012965965,2.722615666572971
mcap_bucket,large_top50,15,-0.03727024758619847,-0.0357723292469351,0.2,-9.510867348171118
mcap_bucket,mid_51_100,37,-0.017947872762766805,-0.0244501845018449,0.3783783783783784,-1.8593612000263833
mcap_bucket,other,1570,0.10426191235593442,0.05371818738123605,0.6777070063694267,1.710267613107913
gap_bucket,gapdown_gt3pct,368,0.11047593613468527,0.01058480545406605,0.5652173913043478,0.9892717935771185
gap_bucket,gapdown_0_3pct,470,0.06743607500119086,0.06133628084262635,0.674468085106383,2.684774780865163
gap_bucket,flat_or_gapup,784,0.114946400056987,0.06551067696501595,0.7091836734693877,3.1114623229566436
intraday_bucket,intraday_rebound,968,0.10000558082389652,0.0594086530080998,0.7004132231404959,2.8465909712596
intraday_bucket,intraday_weak,654,0.10040164396830258,0.031006733358984198,0.6162079510703364,1.1818439843079918
vol_regime,low_vol,542,0.11188336310076248,0.0720538604830421,0.7509225092250923,3.7973664168535426
vol_regime,mid_vol,540,0.0965873799083771,0.059005465629598394,0.6888888888888889,2.5295207245014195
vol_regime,high_vol,540,0.09198168415123113,0.01373296828331665,0.5592592592592592,0.9930700980168479
