sleeve,entry_date,ticker,tradable
D013,2024-01-02,207940,True
D013,2024-01-02,005380,True
D013,2024-04-01,005930,True
D013,2024-04-01,000660,True
D013,2024-04-01,373220,True
D013,2024-04-01,207940,True
D013,2024-04-01,005380,True
D013,2024-10-02,005930,True
D013,2024-10-02,000660,True
D013,2024-10-02,373220,True
D013,2024-10-02,207940,True
D013,2024-10-02,005380,True
D013,2025-07-01,005930,True
D013,2025-07-01,000660,True
D013,2025-07-01,207940,True
D013,2025-07-01,373220,True
D013,2025-07-01,034020,True
D013,2025-10-01,005930,True
D013,2025-10-01,000660,True
D013,2025-10-01,373220,True
D013,2025-10-01,207940,True
D013,2025-10-01,012450,True
D013,2026-01-02,005930,True
D013,2026-01-02,000660,True
D013,2026-01-02,373220,True
D013,2026-01-02,207940,True
D013,2026-01-02,005380,True
D013,2026-04-01,005930,True
D013,2026-04-01,000660,True
D013,2026-04-01,373220,True
D013,2026-04-01,005380,True
D013,2026-04-01,207940,True
H001,2017-04-03,005930,True
H001,2017-04-03,000660,True
H001,2017-04-03,005380,True
H001,2017-04-03,015760,True
H001,2017-04-03,035420,True
H001,2017-07-03,005930,True
H001,2017-07-03,000660,True
H001,2017-07-03,005380,True
H001,2017-07-03,028260,True
H001,2017-07-03,035420,True
H001,2018-01-02,005930,True
H001,2018-01-02,000660,True
H001,2018-01-02,005380,True
H001,2018-01-02,005490,True
H001,2018-01-02,035420,True
H001,2019-07-01,005930,True
H001,2019-07-01,000660,True
H001,2019-07-01,005380,True
H001,2019-07-01,068270,True
H001,2019-07-01,051910,True
H001,2019-10-01,005930,True
H001,2019-10-01,000660,True
H001,2019-10-01,005380,True
H001,2019-10-01,035420,True
H001,2019-10-01,012330,True
H001,2020-01-02,005930,True
H001,2020-01-02,000660,True
H001,2020-01-02,035420,True
H001,2020-01-02,207940,True
H001,2020-01-02,005380,True
H001,2020-04-01,005930,True
H001,2020-04-01,000660,True
H001,2020-04-01,207940,True
H001,2020-04-01,068270,True
H001,2020-04-01,035420,True
H001,2020-07-01,005930,True
H001,2020-07-01,000660,True
H001,2020-07-01,207940,True
H001,2020-07-01,035420,True
H001,2020-07-01,068270,True
H001,2020-10-05,005930,True
H001,2020-10-05,000660,True
H001,2020-10-05,035420,True
H001,2020-10-05,051910,True
H001,2020-10-05,207940,True
H001,2021-01-04,005930,True
H001,2021-01-04,000660,True
H001,2021-01-04,051910,True
H001,2021-01-04,207940,True
H001,2021-01-04,068270,True
H001,2021-04-01,005930,True
H001,2021-04-01,000660,True
H001,2021-04-01,035420,True
H001,2021-04-01,051910,True
H001,2021-04-01,207940,True
H001,2021-07-01,005930,True
H001,2021-07-01,000660,True
H001,2021-07-01,035720,True
H001,2021-07-01,035420,True
H001,2021-07-01,051910,True
H001,2021-10-01,005930,True
H001,2021-10-01,000660,True
H001,2021-10-01,035420,True
H001,2021-10-01,207940,True
H001,2021-10-01,051910,True
H001,2022-01-03,005930,True
H001,2022-01-03,000660,True
H001,2022-01-03,035420,True
H001,2022-01-03,207940,True
H001,2022-01-03,035720,True
H001,2023-10-04,005930,True
H001,2023-10-04,373220,True
H001,2023-10-04,000660,True
H001,2023-10-04,207940,True
H001,2023-10-04,005490,True
H001,2024-01-02,005930,True
H001,2024-01-02,000660,True
H001,2024-01-02,373220,True
H001,2024-01-02,207940,True
H001,2024-01-02,005380,True
H001,2024-04-01,005930,True
H001,2024-04-01,000660,True
H001,2024-04-01,373220,True
H001,2024-04-01,207940,True
H001,2024-04-01,005380,True
H001,2024-10-02,005930,True
H001,2024-10-02,000660,True
H001,2024-10-02,373220,True
H001,2024-10-02,207940,True
H001,2024-10-02,005380,True
H001,2025-07-01,005930,True
H001,2025-07-01,000660,True
H001,2025-07-01,207940,True
H001,2025-07-01,373220,True
H001,2025-07-01,034020,True
H001,2025-10-01,005930,True
H001,2025-10-01,000660,True
H001,2025-10-01,373220,True
H001,2025-10-01,207940,True
H001,2025-10-01,012450,True
H001,2026-01-02,005930,True
H001,2026-01-02,000660,True
H001,2026-01-02,373220,True
H001,2026-01-02,207940,True
H001,2026-01-02,005380,True
H001,2026-04-01,005930,True
H001,2026-04-01,000660,True
H001,2026-04-01,373220,True
H001,2026-04-01,005380,True
H001,2026-04-01,207940,True
