year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c011_v8_macro_gate_mcap_net_total_return,v9_minus_v8_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,-0.14885508113656898,0.004079681302652238,0.0,-0.1488550811365689,-8.326672684688674e-17
2012,0.02624455292442307,0.18731018909741426,0.0,0.026244552924423,6.938893903907228e-17
2013,-0.028193098885755274,0.06125736750042954,0.0,-0.0281930988857552,-7.28583859910259e-17
2014,-0.0783678455575052,0.05769800682302639,0.0,-0.0783678455575052,0.0
2015,-0.15879485716997876,0.16501292442133764,0.0,-0.1587948571699787,-5.551115123125783e-17
2017,0.0940147223548613,0.31675953872996554,0.0,0.0940147223548613,0.0
2018,-0.4425899844893092,-0.08401784948302582,0.0,-0.4425899844893092,0.0
2019,0.11725673833786421,0.17019485930094325,0.0,0.1172567383378642,1.3877787807814457e-17
2020,0.46309904044504924,0.5251287429311848,0.0,0.4630990404450492,5.551115123125783e-17
2021,-0.12419945981131264,0.13170240063376726,0.0,-0.1241994598113126,-4.163336342344337e-17
2022,-0.09716827644733195,-0.18442405395793493,0.0,-0.0971682764473319,-4.163336342344337e-17
2023,-0.017729397197116303,0.3279894204214897,0.0,-0.0177293971971163,-3.469446951953614e-18
2024,0.014081826253520058,0.034981455283805474,0.0,0.01408182625352,5.724587470723463e-17
2025,0.7666554035490463,1.047004780803555,0.0,0.7666554035490463,0.0
2026,0.5621484118981515,0.7344109727369705,0.0,0.5621484118981515,0.0
