correction_rcept_no,corp_name,stock_code,correction_report_nm,confidence_5tier,residual_action_class,candidate_rcept_no,candidate_report_nm,candidate_rcept_dt_iso,body_format_cache,body_refs_candidate_title,body_refs_candidate_date,title_similarity,manual_review_required,human_validation_claimed,authoritative,review_question
20100331902855,포네이처,045290,[기재정정]주권매매거래정지기간변경,high_validated,accepted_high_validated_design_only,20100324900525,주권매매거래정지기간변경,2010-03-24,html_inline,True,False,0.8,True,False,False,Confirm the body-confirmed link is correct before any future use (design-only).
20100322900199,헤파호프코리아,039350,[기재정정]주권매매거래정지(투자자보호),medium_needs_manual,body_confirms_candidate_but_below_high,20100319902031,주권매매거래정지(관리종목지정사유발생),2010-03-19,html_inline,True,False,0.488,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20100319901646,아이알디,084810,[기재정정]주권매매거래정지기간변경,medium_needs_manual,body_confirms_candidate_but_below_high,20100318901199,주권매매거래정지기간변경,2010-03-18,html_inline,False,True,0.8,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20100311900027,초록뱀미디어,047820,[기재정정]주권매매거래정지,medium_needs_manual,body_confirms_candidate_but_below_high,20100128900201,주권매매거래정지(구주권 제출),2010-01-28,html_inline,True,False,0.533,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20100211900740,위지트,036090,[기재정정]주권매매거래정지,medium_needs_manual,body_confirms_candidate_but_below_high,20100107900465,주권매매거래정지(채권은행 등의 관리절차 개시),2010-01-07,html_inline,True,False,0.41,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20100428900278,선우중공업,068770,[기재정정]주권매매거래정지기간변경,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,20100413900404,주권매매거래정지기간변경,2010-04-13,html_inline,False,False,0.8,True,False,False,Confirm the scored candidate is genuinely wrong (body does not reference it).
20100415900118,나리지*온,036850,[기재정정]주권매매거래정지,no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20100917900141,팜스토리,027710,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20100721900323,에이전트AI,060900,[기재정정]주권매매거래정지기간변경,medium_needs_manual,body_confirms_candidate_but_below_high,20100719900223,주권매매거래정지기간변경,2010-07-19,html_inline,True,True,0.8,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20100705800432,남광토건,001260,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20101228900194,SOOP,067160,[기재정정]주권매매거래정지(구주권 제출),high_validated,accepted_high_validated_design_only,20101227900279,주권매매거래정지(구주권 제출),2010-12-27,html_inline,True,True,0.842,True,False,False,Confirm the body-confirmed link is correct before any future use (design-only).
20101223900406,세실,084450,[기재정정]주권매매거래정지,medium_needs_manual,body_confirms_candidate_but_below_high,20101221900396,주권매매거래정지(회계처리 기준위반),2010-12-21,html_inline,True,False,0.485,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20101208900051,신화프리텍,095190,[기재정정]주권매매거래정지(무상증자),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20101126900274,에이전트AI,060900,[기재정정]기타경영사항(자율공시)(광업권 매매계약 해제 등),no_link,no_link_insufficient_evidence,20100323900006,기타경영사항(자율공시)(광업권 매매계약 해제 등),2010-03-23,html_inline,False,True,0.9,True,False,False,Candidate(s) too weak — does a correct original exist locally at all?
20101015900434,에이디모터스,038120,[기재정정]주권매매거래정지(무상증자),medium_needs_manual,body_confirms_candidate_but_below_high,20100210900257,주권매매거래정지,2010-02-10,html_inline,True,False,0.571,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20101015900293,디지털대성,068930,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20110331902711,한와이어리스,037020,[기재정정]주권매매거래정지기간변경(사업보고서 미제출),rejected_wrong_candidate,rejected_wrong_candidate_quarantined,20110323900713,주권매매거래정지기간변경,2011-03-23,html_inline,False,False,0.585,True,False,False,Confirm the scored candidate is genuinely wrong (body does not reference it).
20110323900724,뉴젠아이씨티,054150,[기재정정]주권매매거래정지기간변경,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,20100707900434,주권매매거래정지기간변경,2010-07-07,html_inline,False,False,0.8,True,False,False,Confirm the scored candidate is genuinely wrong (body does not reference it).
20110323900723,뉴젠아이씨티,054150,[기재정정]주권매매거래정지기간변경,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,20100707900434,주권매매거래정지기간변경,2010-07-07,html_inline,False,False,0.8,True,False,False,Confirm the scored candidate is genuinely wrong (body does not reference it).
20110318800229,인바이오젠,101140,[기재정정]매매거래정지및정지해제(풍문등조회공시),medium_needs_manual,body_confirms_candidate_but_below_high,20110310801898,매매거래정지및정지해제(중요내용공시),2011-03-10,html_inline,True,False,0.667,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20110224900602,삼우이엠씨,026250,[기재정정]주권매매거래정지,no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20110614900389,이룸지엔지,050640,[기재정정]주권매매거래정지기간변경(상장폐지 실질심사 대상 결정),medium_needs_manual,body_confirms_candidate_but_below_high,20110523900012,주권매매거래정지,2011-05-23,html_inline,True,False,0.372,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20110531800008,경남기업,000800,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20110512900210,네이처셀,007390,[기재정정]주권매매거래정지,medium_needs_manual,body_confirms_candidate_but_below_high,20110118900343,주권매매거래정지(불성실공시법인 지정),2011-01-18,html_inline,True,False,0.471,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20110506800027,다산자기관리부동산투자회사,105380,[기재정정]매매거래정지및정지해제(풍문등조회공시),medium_needs_manual,body_confirms_candidate_but_below_high,20110328800819,매매거래정지및정지해제(중요내용공시),2011-03-28,html_inline,True,False,0.667,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20110411900648,에코솔루션,052510,[기재정정]주권매매거래정지기간변경(사업보고서 제출),medium_needs_manual,body_confirms_candidate_but_below_high,20110331902696,주권매매거래정지기간변경(사업보고서 미제출),2011-03-31,html_inline,True,False,0.863,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20110407800122,현대지에프홀딩스,005440,[기재정정]매매거래정지및정지해제(중요내용공시),high_validated,accepted_high_validated_design_only,20100413800050,매매거래정지및정지해제(중요내용공시),2010-04-13,html_inline,True,False,0.864,True,False,False,Confirm the body-confirmed link is correct before any future use (design-only).
20110923900387,바이오빌,065940,[기재정정]주권매매거래정지,no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20111109800418,유니켐,011330,[기재정정]매매거래정지및정지해제(중요내용공시),high_validated,accepted_high_validated_design_only,20110811800004,매매거래정지및정지해제(중요내용공시),2011-08-11,html_inline,True,False,0.864,True,False,False,Confirm the body-confirmed link is correct before any future use (design-only).
20111102900010,에스티씨라이프,026220,[기재정정]주권매매거래정지기간변경,high_validated,accepted_high_validated_design_only,20111101900419,주권매매거래정지기간변경,2011-11-01,html_inline,False,True,0.8,True,False,False,Confirm the body-confirmed link is correct before any future use (design-only).
20120322901069,스타코링크,060240,[기재정정]주권매매거래정지(관리종목지정사유발생),medium_needs_manual,body_confirms_candidate_but_below_high,20120314900228,주권매매거래정지(관리종목지정우려),2012-03-14,html_inline,True,False,0.727,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20120319900631,엔스퍼트,098400,[기재정정]주권매매거래정지(투자자 보호),medium_needs_manual,body_confirms_candidate_but_below_high,20120315901390,주권매매거래정지(관리종목 지정우려),2012-03-15,html_inline,True,False,0.537,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20120319900621,엔스퍼트,098400,[기재정정]주권매매거래정지(상장폐지 사유발생),medium_needs_manual,body_confirms_candidate_but_below_high,20120315901390,주권매매거래정지(관리종목 지정우려),2012-03-15,html_inline,True,False,0.5,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20120312900806,아인스엠앤엠,040740,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),high_validated,accepted_high_validated_design_only,20120308901602,주권매매거래정지기간변경(상장폐지 사유 발생),2012-03-08,html_inline,False,True,0.889,True,False,False,Confirm the body-confirmed link is correct before any future use (design-only).
20120307900749,쎄니트,037760,[기재정정]주권매매거래정지(관리종목지정우려),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20120209900299,아바코,083930,[기재정정]주권매매거래정지,no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
20120201900424,라온시큐어,042510,[기재정정]주권매매거래정지,medium_needs_manual,body_confirms_candidate_but_below_high,20110426900201,주권매매거래정지(구주권 제출),2011-04-26,html_inline,True,False,0.533,True,False,False,Body references candidate but below high bar — confirm/upgrade manually.
20120201900262,삼표시멘트,038500,[기재정정]주권매매거래정지,no_link,no_link_insufficient_evidence,,,,html_inline,False,False,,True,False,False,Candidate(s) too weak — does a correct original exist locally at all?
20120131800145,거북선5호선박투자회사,114130,[기재정정]매매거래정지및정지해제(중요내용공시),no_link,no_link_original_not_found,,,,html_inline,False,False,,True,False,False,Is the original disclosure outside the local raw pool? May need source expansion.
