correction_rcept_no,corp_name,correction_report_nm,candidate_rcept_no,candidate_report_nm,candidate_rcept_dt_iso,body_format_cache,body_refs_candidate_title,body_refs_candidate_date,title_similarity,pass3_score,why_evidence_failed,status
20100428900278,선우중공업,[기재정정]주권매매거래정지기간변경,20100413900404,주권매매거래정지기간변경,2010-04-13,html_inline,False,False,0.8,14.138,"scoring matched a candidate (score 14.138, title_similarity 0.8) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20110331902711,한와이어리스,[기재정정]주권매매거래정지기간변경(사업보고서 미제출),20110323900713,주권매매거래정지기간변경,2011-03-23,html_inline,False,False,0.585,9.845,"scoring matched a candidate (score 9.845, title_similarity 0.585) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20110323900724,뉴젠아이씨티,[기재정정]주권매매거래정지기간변경,20100707900434,주권매매거래정지기간변경,2010-07-07,html_inline,False,False,0.8,13.136,"scoring matched a candidate (score 13.136, title_similarity 0.8) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20110323900723,뉴젠아이씨티,[기재정정]주권매매거래정지기간변경,20100707900434,주권매매거래정지기간변경,2010-07-07,html_inline,False,False,0.8,13.136,"scoring matched a candidate (score 13.136, title_similarity 0.8) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20200406900994,앤로보틱스,[기재정정]주권매매거래정지기간변경(사업보고서 미제출),20200206900937,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),2020-02-06,html_inline,False,False,0.476,9.468,"scoring matched a candidate (score 9.468, title_similarity 0.476) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20210430901247,지더블유바이텍,[기재정정]기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내),20201008900858,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),2020-10-08,html_inline,False,False,0.214,5.983,"scoring matched a candidate (score 5.983, title_similarity 0.214) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20220330900712,스마트솔루션즈,[기재정정]주권매매거래정지기간변경(투자자보호),20220329902747,주권매매거래정지기간변경(투자자보호),2022-03-29,html_inline,False,False,0.864,15.291,"scoring matched a candidate (score 15.291, title_similarity 0.864) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20250626900815,푸른소나무,[기재정정]주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),20250624900626,주권매매거래정지기간변경              (회생절차 개시결정),2025-06-24,html_inline,False,False,0.635,5.945,"scoring matched a candidate (score 5.945, title_similarity 0.635) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20250620900644,엔케이젠바이오텍코리아,[기재정정]기타시장안내              (감사의견 관련 형식적 상장폐지 사유 해소 및 매매거래정지 지속 안내),20250321902323,주권매매거래정지기간변경              (상장폐지 사유 발생),2025-03-21,html_inline,False,False,0.505,6.882999999999999,"scoring matched a candidate (score 6.882999999999999, title_similarity 0.505) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20250612900585,세토피아,[기재정정]주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),20250424900608,주권매매거래정지기간변경              (상장적격성 실질심사 대상 결정 등),2025-04-24,html_inline,False,False,0.617,5.724,"scoring matched a candidate (score 5.724, title_similarity 0.617) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20250407601332,나라소프트,[기재정정]주권매매거래정지기간변경              (사업보고서 미제출),20250310600141,주권매매거래정지기간변경              (지정자문인 선임계약의 해지),2025-03-10,html_inline,False,False,0.682,9.908,"scoring matched a candidate (score 9.908, title_similarity 0.682) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20230407901311,비디아이,"[기재정정]주권매매거래정지기간변경(상장폐지 사유 해소, 사업보고서 미제출)",20220826900407,주권매매거래정지기간변경(상장폐지 사유 발생),2022-08-26,html_inline,False,False,0.677,9.095,"scoring matched a candidate (score 9.095, title_similarity 0.677) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20210315901847,지스마트글로벌,"[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생, 상장적격성 실질심사대상(사유발생))",20200323902004,"주권매매거래정지기간변경(상장폐지 사유 발생, 주식의 병합, 분할 등 전자등록 변경, 말소)",2020-03-23,html_inline,False,False,0.54,8.343,"scoring matched a candidate (score 8.343, title_similarity 0.54) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
20210120900703,이엠네트웍스,[기재정정]주권매매거래정지기간변경(회생절차 개시신청),20210107900567,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",2021-01-07,html_inline,False,False,0.448,9.618,"scoring matched a candidate (score 9.618, title_similarity 0.448) but the html_inline correction body references NEITHER the candidate's title token NOR its date — body cross-check failed; kept quarantined, NOT a confirmed link",quarantined_manual_review_required
