correction_rcept_no,corp_name,event_category,confidence_5tier,body_format_cache,root_cause,residual_action_class,next_action,authoritative,manual_review_required
20100322900199,헤파호프코리아,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20100319901646,아이알디,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20100311900027,초록뱀미디어,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20100211900740,위지트,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20100415900118,나리지*온,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20100917900141,팜스토리,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20100721900323,에이전트AI,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20100705800432,남광토건,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20101223900406,세실,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20101208900051,신화프리텍,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20101126900274,에이전트AI,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20101015900434,에이디모터스,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20101015900293,디지털대성,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20110318800229,인바이오젠,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20110224900602,삼우이엠씨,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20110614900389,이룸지엔지,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20110531800008,경남기업,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20110512900210,네이처셀,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20110506800027,다산자기관리부동산투자회사,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20110411900648,에코솔루션,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20110923900387,바이오빌,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120322901069,스타코링크,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120319900631,엔스퍼트,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120319900621,엔스퍼트,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120307900749,쎄니트,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120209900299,아바코,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120201900424,라온시큐어,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120201900262,삼표시멘트,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20120131800145,거북선5호선박투자회사,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120131800143,거북선6호선박투자회사,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120423900095,엑큐리스,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120423900096,에이치엠넥스,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120423900092,에이치엠넥스,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20120423900091,엑큐리스,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120912900348,무한투자,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120809900022,오리엔탈정공,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20120731900236,금강제강,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20130315901436,프리젠,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20130314802024,알앤엘재생의학연구소,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20130117900277,아큐텍,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20130520900302,우림피티에스,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20140519900313,씨그널엔터테인먼트그룹,resumption_related,no_link,html_inline,original_likely_cross_category_not_allowed,no_link_cross_category_blocked,manual cross-category adjudication,False,True
20141016900317,골프존홀딩스,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20150323600022,웹솔루스,suspension_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150128900203,바른손이앤에이,suspension_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150122900284,팬스타엔터프라이즈,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150526800147,플랜텍,resumption_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150514901020,코데즈컴바인,suspension_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150421900128,해피드림,resumption_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150925900143,네이트커뮤니케이션즈,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20150911800465,삼양제넥스,resumption_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20151231900042,제이스코홀딩스,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20151230900233,제이스코홀딩스,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20151127900167,모베이스,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20160224900085,제이앤유글로벌,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20160429600510,비엘사이언스,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20160429900427,제이앤유글로벌,resumption_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20160429900298,오상헬스케어,resumption_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20161125900030,네이트커뮤니케이션즈,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20161115900075,케이엔씨글로벌,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20161017900147,티엔엔터테인먼트,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20170330902219,퓨처코어,suspension_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20170327900337,신양오라컴디스플레이,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20170223600535,엄지하우스,suspension_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20170124900649,케이에스피,suspension_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20170124900643,케이에스피,suspension_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20170421900722,제이앤케이인더스트리,suspension_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20171110900736,알파칩스,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20230717800694,PKC,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20230214900950,압타머사이언스,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20230206901186,광무,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20230131800615,에이리츠,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20230120800194,POSCO홀딩스,resumption_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20220620900716,엘아이에스,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20190322600250,영현무역,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20190304900009,일월지엠엘,suspension_related,no_link,zip_unparseable,original_not_in_raw_pool,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20190117900312,이엠앤아이,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20200514900567,비디아이,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20200416900247,피씨엘,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20200414800366,동북아13호선박투자회사,resumption_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20210520900119,와이엠,suspension_related,no_link,html_inline,insufficient_evidence,no_link_insufficient_evidence,manual search for a stronger original,False,True
20210413900608,앤에스,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20180402900901,엠에스씨,suspension_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20240913900202,드래곤플라이,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20220329900679,수젠텍,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20220104900567,나노캠텍,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20180321900419,수성웹툰,suspension_related,medium_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20240610900602,대양제지공업,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20240402900836,디에이테크놀로지,suspension_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
20181008900702,지디,resumption_related,low_needs_manual,zip_unparseable,body_blocked_zip_unparseable,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20181008900701,우성아이비,resumption_related,no_link,zip_unparseable,insufficient_evidence,zip_unparseable_requires_source_recovery,source recovery (separate verdict + download approval),False,True
20250407601118,엘리비젼,suspension_related,no_link,html_inline,original_not_in_raw_pool,no_link_original_not_found,candidate source expansion (separate verdict) OR accept as no local original,False,True
20250123900765,캔버스엔,resumption_related,medium_needs_manual,html_inline,needs_manual_adjudication,body_confirms_candidate_but_below_high,manual confirm/upgrade,False,True
