rcept_no,value_pattern_class,design_proof_bucket,false_positive_risk,required_future_approval,required_guardrail,hypothetical_candidate_value_text,hypothetical_candidate_value_iso_PROOF_ONLY,is_proof_only_not_parser_output,fail_closed,manual_review_required,executable_or_safe,downstream_authoritative,parsed,recovered,validated,approved,effective_date_accepted,strategy_ready
20100305800323,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20100426800466,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20101230900335,other_ambiguous,ambiguous_requires_manual_or_later_design,high_ambiguous,manual_adjudication_approval_required,"a parseable 4-digit date is present but it is the suspension timestamp (정지일시), NOT the resumption date; the resumption value is absent; this is a field-selection / value-absence issue, NOT a date format the parser fails to read; manual confirm",,,True,True,True,False,False,False,False,False,False,False,False
20110412800376,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20111013900324,date_range_or_period_text,out_of_scope_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,"value is a suspension PERIOD that resolves to 상장폐지/정리매매 (delisting), not a single resumption date; no resumption date exists; out of scope; keep fail-closed",,,True,True,True,False,False,False,False,False,False,False,False
20111214900344,other_ambiguous,ambiguous_requires_manual_or_later_design,high_ambiguous,manual_adjudication_approval_required,"a parseable 4-digit date is present but it is the suspension timestamp (정지일시), NOT the resumption date; the resumption value is absent; this is a field-selection / value-absence issue, NOT a date format the parser fails to read; manual confirm",,,True,True,True,False,False,False,False,False,False,False,False
20120319800557,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20120416800427,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20121109800571,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
20130114800323,relative_or_tbd_marker,relative_tbd_keep_fail_closed,blocked_not_evaluable,none_keep_fail_closed,value is a relative/TBD expression (e.g. '…제출일 익일' = day after a future document submission); no absolute date exists to extract; a parser change cannot recover a date that is not present; keep fail-closed,,,True,True,True,False,False,False,False,False,False,False,False
