date,anomaly_type,official_calendar_status,repo_union_status,affected_source,affected_row_count,suspected_reason,manual_review_required,recommended_handling
2026-05-07,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-08,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-11,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-12,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-13,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-14,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-15,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-18,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-19,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-20,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-21,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
2026-05-22,official_only_date,present,absent,panel + market_flow + S1 all missing,n/a,vendor panel coverage gap or pre-listing/post-acquisition date,true,use official calendar as ground truth; treat as KRX trading day in any future t+1 mapping; do NOT use repo data for this date
