year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c005_n5_macro_gate_mcap_net_total_return,n20_minus_n5_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,-0.22614733546813492,0.004079681302652238,0.0,-0.1488550811365689,-0.07729225433156603
2012,-0.06899247080919468,0.18731018909741426,0.0,-0.046826673821664,-0.022165796987530684
2013,0.08503064912825442,0.06125736750042954,0.0,-0.0281930988857549,0.11322374801400932
2014,-0.09311390744953385,0.05769800682302639,0.0,-0.0783678455575049,-0.014746061892028955
2015,-0.022777519523102474,0.16501292442133764,0.0,-0.026594350089605,0.0038168305665025257
2017,0.08311522216028155,0.31675953872996554,0.0,0.0940147223548608,-0.010899500194579248
2018,-0.26705095501512255,-0.08401784948302582,0.0,-0.4425899844893091,0.17553902947418654
2019,0.0324763861645847,0.17019485930094325,0.0,0.0277493483052602,0.004727037859324504
2020,-0.017430997122411918,0.5251287429311848,0.0,0.1219931437777739,-0.13942414090018582
2021,-0.11940830814914793,0.13170240063376726,0.0,-0.1241994598113126,0.004791151662164664
2022,-0.10632798461509108,-0.18442405395793493,0.0,-0.0971682764473317,-0.009159708167759378
2023,0.03414331505102197,0.3279894204214897,0.0,-0.0560070633060246,0.09015037835704656
2024,-0.06978222390844191,0.034981455283805474,0.0,0.0103944363767178,-0.08017666028515971
2025,0.3251997046211774,1.047004780803555,0.0,0.567009224531813,-0.2418095199106356
2026,0.41743185908331437,0.7344109727369705,0.0,0.5621484118981519,-0.14471655281483753
