signal_date,candidate_count_before,candidate_count_after,liquidity_removed_count,status_removed_count,single_weight_bound,top2_weight_bound,liquidity_bound,status_bound,quarterly_turnover,turnover_bound
2017-03-31,5,5,0,0,False,False,False,False,1.0,False
2017-06-30,5,5,0,0,False,False,False,False,0.2,False
2017-12-28,5,5,0,0,False,False,False,False,0.2,False
2019-06-28,5,5,0,0,False,False,False,False,0.4,False
2019-09-30,5,5,0,0,False,False,False,False,0.4,False
2019-12-30,5,5,0,0,False,False,False,False,0.2,False
2020-03-31,5,5,0,0,False,False,False,False,0.2,False
2020-06-30,5,5,0,0,False,False,False,False,0.0,False
2020-09-29,5,5,0,0,False,False,False,False,0.2,False
2020-12-30,5,5,0,0,False,False,False,False,0.2,False
2021-03-31,5,5,0,0,False,False,False,False,0.2,False
2021-06-30,5,5,0,0,False,False,False,False,0.2,False
2021-09-30,5,5,0,0,False,False,False,False,0.2,False
2021-12-30,5,5,0,0,False,False,False,False,0.2,False
2023-09-27,5,5,0,0,False,False,False,False,0.4,False
2023-12-28,5,5,0,0,False,False,False,False,0.2,False
2024-03-29,5,5,0,0,False,False,False,False,0.0,False
2024-09-30,5,5,0,0,False,False,False,False,0.0,False
2025-06-30,5,5,0,0,False,False,False,False,0.2,False
2025-09-30,5,5,0,0,False,False,False,False,0.2,False
2025-12-30,5,5,0,0,False,False,False,False,0.2,False
2026-03-31,5,5,0,0,False,False,False,False,0.0,False
