signal_id,family,horizon_d,regime,mean_abnormal_ret,abn_tstat,n_events,metric_note,status,caveat,p_value,q_value_bh
flag_treasury_stock,G_event,1,FULL,0.0176473176916782,12.11133027828087,2749,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,6.251942913455227e-33,2.961446643215634e-32
flag_treasury_stock,G_event,3,FULL,0.0276783720847056,8.964926264775668,1803,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,7.576228149088674e-19,2.479492848792657e-18
flag_treasury_stock,G_event,5,FULL,0.0363228345931545,8.06912900700527,1509,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,1.431784351618341e-15,4.22493743100494e-15
flag_treasury_stock,G_event,10,FULL,0.0996114196154385,4.954922203374602,1302,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,8.187850690677399e-07,1.5513822361283492e-06
flag_treasury_stock,G_event,20,FULL,0.0274893794593546,4.301089551789284,1113,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,1.8488902387142816e-05,3.2310703200832105e-05
flag_treasury_stock,G_event,1,PAST,0.0181331006244017,7.710805061308851,986,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,3.0499299479567883e-14,8.445959855880338e-14
flag_treasury_stock,G_event,3,PAST,0.0378669694205121,6.317317954525699,571,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,5.364982826641069e-10,1.1922184059202375e-09
flag_treasury_stock,G_event,5,PAST,0.0435930128050879,5.868563132201424,448,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,8.571840979771514e-09,1.7336307599537893e-08
flag_treasury_stock,G_event,10,PAST,0.056589493022734,6.439521980742329,376,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,3.673897676671665e-10,8.370906098745565e-10
flag_treasury_stock,G_event,20,PAST,0.0429839692399821,3.020001843188023,309,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,0.002739323681850828,0.004008766363684139
flag_treasury_stock,G_event,1,PRESENT,0.0173756319448459,9.376599715115626,1763,EVENT-STUDY t+1 entry; abnormal = stock - universe-mean(same date); title/flag presence only,measured_with_caveat,metadata/title flag (presence not magnitude); R-family closed on title-only insufficiency (caveat not veto); overlapping events; no body parser,2.018046734892637e-20,6.726822449642123e-20
