signal_id,family,horizon_d,regime,ic_mean_pred,ic_tstat,ic_hit_rate,n_dates,decile_ls_exec_netcost,longonly_topdecile_exec_netcost,placebo_ic_5d,status,execution_note,caveat,label_note,abs_ic
sig_mom_10,B_price,5,PRESENT,-0.042377638213272686,-8.933262707556398,0.3889943074003795,1054,-0.04888678355218011,-0.0007852453013635374,-0.0007543873068847993,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.042377638213272686
sig_mom_20,B_price,5,PRESENT,-0.03861213142521814,-7.8503807955274105,0.4060721062618596,1054,-0.04783806630220073,0.00034951704196780475,0.004847883856498962,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.03861213142521814
sig_mom_5,B_price,5,PRESENT,-0.03787544800566925,-8.011580389751504,0.39753320683111953,1054,-0.046025515304455734,0.002119860994923784,-0.0015966154282278217,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.03787544800566925
sig_reversal_5,B_price,5,PRESENT,0.03787544800566925,8.011580389751504,0.6024667931688804,1054,0.04609658415355089,0.04816900332552897,0.007943871514872481,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),negation of 5d momentum,ic=close-to-close prediction; decile=T+1-open executability net cost,0.03787544800566925
sig_tr_mom_20,D_totalreturn,5,PRESENT,-0.0336692963824064,-6.814807127190324,0.4138915318744053,1051,-0.04234178713136307,0.0014284043885813562,-7.841899495285218e-05,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),yfinance TR proxy; adj_close used for RETURN only,ic=close-to-close prediction; decile=T+1-open executability net cost,0.0336692963824064
sig_mom_60,B_price,5,PRESENT,-0.03082661612747775,-5.946344673724217,0.43833017077798864,1054,-0.03238857462225841,0.001308275050258651,0.002280851315592845,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.03082661612747775
sig_mom_3,B_price,5,PRESENT,-0.02857049000787293,-5.98432451071262,0.43453510436432635,1054,-0.037061050524217605,0.006419497734850448,0.0007150416677822853,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.02857049000787293
sig_tr_mom_60,D_totalreturn,5,PRESENT,-0.026151546326098726,-4.952188632919926,0.45670789724072314,1051,-0.02307784591394964,0.0024383476837171202,-0.0002599591924664078,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),yfinance TR proxy; adj_close used for RETURN only,ic=close-to-close prediction; decile=T+1-open executability net cost,0.026151546326098726
sig_vol_20,B_price,5,PRESENT,0.024224694863127037,4.353067037778449,0.5512333965844403,1054,0.05182765027153042,0.04127158988416222,-0.0004516287623166983,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.024224694863127037
sig_gap,B_price,5,PRESENT,-0.022885005098954154,-5.1936053430511055,0.4449715370018975,1054,-0.028186742122098065,0.014409818510664595,-0.004998060260887422,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.022885005098954154
sig_mom_1,B_price,5,PRESENT,-0.017746638733293872,-3.8973316279462455,0.4629981024667932,1054,-0.021058415179344193,0.014435684309173072,-0.004430918990716322,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.017746638733293872
sig_turnover_chg5,B_price,5,PRESENT,-0.01763571982535177,-4.506498348181896,0.43548387096774194,1054,-0.017288761605613632,-0.005442212019437222,0.0036036729329435645,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.01763571982535177
sig_flow_foreign_amt_cum20,A_flow,5,PRESENT,0.013288256408185215,3.358172588581849,0.5379506641366224,1054,-0.022876253196148697,0.009561686162066953,-0.004282833786258994,measured_with_caveat,long-only is executable view; long-short = statistical only (KR short not executable),vendor-estimated flow (수급금액추정여부 all-True),ic=close-to-close prediction; decile=T+1-open executability net cost,0.013288256408185215
sig_vol_surge,B_price,5,PRESENT,-0.013204002514871653,-3.18203428784588,0.4639468690702087,1054,-0.005043256131624118,0.00029065374888841215,-0.0005290445926688922,measured_valid,long-only is executable view; long-short = statistical only (KR short not executable),,ic=close-to-close prediction; decile=T+1-open executability net cost,0.013204002514871653
