date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_defensive_basket_net_value,defensive_basket_sleeve_factor
2010-03-10,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-11,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-12,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-15,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-16,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-17,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-18,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-19,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-22,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-23,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-24,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-25,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-26,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-29,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-30,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-03-31,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-04-01,1.0009523956205204,0.0,1.0009523956205204,1.0009523956205204,0,1.0,1.0009523956205204,1.0009523956205204
2010-04-02,1.0019056982984589,0.0,1.0019056982984589,1.0019056982984589,0,1.0,1.0019056982984589,1.0019056982984589
2010-04-05,1.0028599088976928,0.0,1.0028599088976928,1.0028599088976928,0,1.0,1.0028599088976928,1.0028599088976928
2010-04-06,1.0038150282829226,0.0,1.0038150282829226,1.0038150282829226,0,1.0,1.0038150282829226,1.0038150282829226
2010-04-07,1.0047710573196718,0.0,1.0047710573196718,1.0047710573196718,0,1.0,1.0047710573196718,1.0047710573196718
2010-04-08,1.0057279968742887,0.0,1.0057279968742887,1.0057279968742887,0,1.0,1.0057279968742887,1.0057279968742887
2010-04-09,1.0066858478139467,0.0,1.0066858478139467,1.0066858478139467,0,1.0,1.0066858478139467,1.0066858478139467
2010-04-12,1.0076446110066446,0.0,1.0076446110066446,1.0076446110066446,0,1.0,1.0076446110066446,1.0076446110066446
2010-04-13,1.0086042873212082,0.0,1.0086042873212082,1.0086042873212082,0,1.0,1.0086042873212082,1.0086042873212082
2010-04-14,1.009564877627291,0.0,1.009564877627291,1.009564877627291,0,1.0,1.009564877627291,1.009564877627291
2010-04-15,1.0105263827953743,0.0,1.0105263827953743,1.0105263827953743,0,1.0,1.0105263827953743,1.0105263827953743
2010-04-16,1.0114888036967689,0.0,1.0114888036967689,1.0114888036967689,0,1.0,1.0114888036967689,1.0114888036967689
2010-04-19,1.0124521412036152,0.0,1.0124521412036152,1.0124521412036152,0,1.0,1.0124521412036152,1.0124521412036152
2010-04-20,1.013416396188884,0.0,1.013416396188884,1.013416396188884,0,1.0,1.013416396188884,1.013416396188884
2010-04-21,1.0143815695263778,0.0,1.0143815695263778,1.0143815695263778,0,1.0,1.0143815695263778,1.0143815695263778
2010-04-22,1.0153476620907314,0.0,1.0153476620907314,1.0153476620907314,0,1.0,1.0153476620907314,1.0153476620907314
2010-04-23,1.016314674757412,0.0,1.016314674757412,1.016314674757412,0,1.0,1.016314674757412,1.016314674757412
2010-04-26,1.0172826084027218,0.0,1.0172826084027218,1.0172826084027218,0,1.0,1.0172826084027218,1.0172826084027218
2010-04-27,1.018251463903796,0.0,1.018251463903796,1.018251463903796,0,1.0,1.018251463903796,1.018251463903796
2010-04-28,1.0192212421386064,0.0,1.0192212421386064,1.0192212421386064,0,1.0,1.0192212421386064,1.0192212421386064
2010-04-29,1.0201919439859606,0.0,1.0201919439859606,1.0201919439859606,0,1.0,1.0201919439859606,1.0201919439859606
2010-04-30,1.021163570325503,0.0,1.021163570325503,1.021163570325503,0,1.0,1.021163570325503,1.021163570325503
2010-05-03,1.022136122037716,0.0,1.022136122037716,1.022136122037716,0,1.0,1.022136122037716,1.022136122037716
2010-05-04,1.0231096000039206,0.0,1.0231096000039206,1.0231096000039206,0,1.0,1.0231096000039206,1.0231096000039206
2010-05-06,1.0240840051062767,0.0,1.0240840051062767,1.0240840051062767,0,1.0,1.0240840051062767,1.0240840051062767
2010-05-07,1.025059338227785,0.0,1.025059338227785,1.025059338227785,0,1.0,1.025059338227785,1.025059338227785
2010-05-10,1.0260356002522868,0.0,1.0260356002522868,1.0260356002522868,0,1.0,1.0260356002522868,1.0260356002522868
2010-05-11,1.0270127920644652,0.0,1.0270127920644652,1.0270127920644652,0,1.0,1.0270127920644652,1.0270127920644652
2010-05-12,1.0279909145498458,0.0,1.0279909145498458,1.0279909145498458,0,1.0,1.0279909145498458,1.0279909145498458
2010-05-13,1.028969968594798,0.0,1.028969968594798,1.028969968594798,0,1.0,1.028969968594798,1.028969968594798
2010-05-14,1.0299499550865348,0.0,1.0299499550865348,1.0299499550865348,0,1.0,1.0299499550865348,1.0299499550865348
2010-05-17,1.0309308749131143,0.0,1.0309308749131143,1.0309308749131143,0,1.0,1.0309308749131143,1.0309308749131143
2010-05-18,1.0319127289634409,0.0,1.0319127289634409,1.0319127289634409,0,1.0,1.0319127289634409,1.0319127289634409
2010-05-19,1.032895518127265,0.0,1.032895518127265,1.032895518127265,0,1.0,1.032895518127265,1.032895518127265
2010-05-20,1.0338792432951847,0.0,1.0338792432951847,1.0338792432951847,0,1.0,1.0338792432951847,1.0338792432951847
2010-05-24,1.034863905358646,0.0,1.034863905358646,1.034863905358646,0,1.0,1.034863905358646,1.034863905358646
2010-05-25,1.0358495052099441,0.0,1.0358495052099441,1.0358495052099441,0,1.0,1.0358495052099441,1.0358495052099441
2010-05-26,1.0368360437422244,0.0,1.0368360437422244,1.0368360437422244,0,1.0,1.0368360437422244,1.0368360437422244
2010-05-27,1.0378235218494822,0.0,1.0378235218494822,1.0378235218494822,0,1.0,1.0378235218494822,1.0378235218494822
2010-05-28,1.0388119404265648,0.0,1.0388119404265648,1.0388119404265648,0,1.0,1.0388119404265648,1.0388119404265648
2010-05-31,1.0398013003691713,0.0,1.0398013003691713,1.0398013003691713,0,1.0,1.0398013003691713,1.0398013003691713
2010-06-01,1.0407916025738544,0.0,1.0407916025738544,1.0407916025738544,0,1.0,1.0407916025738544,1.0407916025738544
2010-06-03,1.0417828479380202,0.0,1.0417828479380202,1.0417828479380202,0,1.0,1.0417828479380202,1.0417828479380202
2010-06-04,1.0427750373599296,0.0,1.0427750373599296,1.0427750373599296,0,1.0,1.0427750373599296,1.0427750373599296
2010-06-07,1.0437681717386993,0.0,1.0437681717386993,1.0437681717386993,0,1.0,1.0437681717386993,1.0437681717386993
2010-06-08,1.0447622519743018,0.0,1.0447622519743018,1.0447622519743018,0,1.0,1.0447622519743018,1.0447622519743018
2010-06-09,1.045757278967567,0.0,1.045757278967567,1.045757278967567,0,1.0,1.045757278967567,1.045757278967567
2010-06-10,1.0467532536201831,0.0,1.0467532536201831,1.0467532536201831,0,1.0,1.0467532536201831,1.0467532536201831
2010-06-11,1.0477501768346964,0.0,1.0477501768346964,1.0477501768346964,0,1.0,1.0477501768346964,1.0477501768346964
2010-06-14,1.0487480495145132,0.0,1.0487480495145132,1.0487480495145132,0,1.0,1.0487480495145132,1.0487480495145132
2010-06-15,1.0497468725639,0.0,1.0497468725639,1.0497468725639,0,1.0,1.0497468725639,1.0497468725639
2010-06-16,1.050746646887985,0.0,1.050746646887985,1.050746646887985,0,1.0,1.050746646887985,1.050746646887985
2010-06-17,1.0517473733927576,0.0,1.0517473733927576,1.0517473733927576,0,1.0,1.0517473733927576,1.0517473733927576
2010-06-18,1.0527490529850707,0.0,1.0527490529850707,1.0527490529850707,0,1.0,1.0527490529850707,1.0527490529850707
2010-06-21,1.0537516865726406,0.0,1.0537516865726406,1.0537516865726406,0,1.0,1.0537516865726406,1.0537516865726406
2010-06-22,1.0547552750640483,0.0,1.0547552750640483,1.0547552750640483,0,1.0,1.0547552750640483,1.0547552750640483
2010-06-23,1.05575981936874,0.0,1.05575981936874,1.05575981936874,0,1.0,1.05575981936874,1.05575981936874
2010-06-24,1.0567653203970282,0.0,1.0567653203970282,1.0567653203970282,0,1.0,1.0567653203970282,1.0567653203970282
2010-06-25,1.0577717790600922,0.0,1.0577717790600922,1.0577717790600922,0,1.0,1.0577717790600922,1.0577717790600922
2010-06-28,1.058779196269979,0.0,1.058779196269979,1.058779196269979,0,1.0,1.058779196269979,1.058779196269979
2010-06-29,1.0597875729396047,0.0,1.0597875729396047,1.0597875729396047,0,1.0,1.0597875729396047,1.0597875729396047
2010-06-30,1.0607969099827543,0.0,1.0607969099827543,1.0607969099827543,0,1.0,1.0607969099827543,1.0607969099827543
2010-07-01,1.0604491244353305,0.0,1.0604491244353305,1.0604491244353305,0,1.0,1.0604491244353305,1.0604491244353305
2010-07-02,1.0601014529104738,0.0,1.0601014529104738,1.0601014529104738,0,1.0,1.0601014529104738,1.0601014529104738
2010-07-05,1.0597538953708017,0.0,1.0597538953708017,1.0597538953708017,0,1.0,1.0597538953708017,1.0597538953708017
2010-07-06,1.0594064517789437,0.0,1.0594064517789437,1.0594064517789437,0,1.0,1.0594064517789437,1.0594064517789437
2010-07-07,1.0590591220975418,0.0,1.0590591220975418,1.0590591220975418,0,1.0,1.0590591220975418,1.0590591220975418
2010-07-08,1.05871190628925,0.0,1.05871190628925,1.05871190628925,0,1.0,1.05871190628925,1.05871190628925
2010-07-09,1.0583648043167349,0.0,1.0583648043167349,1.0583648043167349,0,1.0,1.0583648043167349,1.0583648043167349
2010-07-12,1.0580178161426748,0.0,1.0580178161426748,1.0580178161426748,0,1.0,1.0580178161426748,1.0580178161426748
2010-07-13,1.0576709417297605,0.0,1.0576709417297605,1.0576709417297605,0,1.0,1.0576709417297605,1.0576709417297605
2010-07-14,1.0573241810406953,0.0,1.0573241810406953,1.0573241810406953,0,1.0,1.0573241810406953,1.0573241810406953
2010-07-15,1.0569775340381942,0.0,1.0569775340381942,1.0569775340381942,0,1.0,1.0569775340381942,1.0569775340381942
2010-07-16,1.056631000684985,0.0,1.056631000684985,1.056631000684985,0,1.0,1.056631000684985,1.056631000684985
2010-07-19,1.0562845809438073,0.0,1.0562845809438073,1.0562845809438073,0,1.0,1.0562845809438073,1.0562845809438073
2010-07-20,1.055938274777413,0.0,1.055938274777413,1.055938274777413,0,1.0,1.055938274777413,1.055938274777413
2010-07-21,1.0555920821485665,0.0,1.0555920821485665,1.0555920821485665,0,1.0,1.0555920821485665,1.0555920821485665
2010-07-22,1.0552460030200437,0.0,1.0552460030200437,1.0552460030200437,0,1.0,1.0552460030200437,1.0552460030200437
2010-07-23,1.0549000373546336,0.0,1.0549000373546336,1.0549000373546336,0,1.0,1.0549000373546336,1.0549000373546336
2010-07-26,1.0545541851151365,0.0,1.0545541851151365,1.0545541851151365,0,1.0,1.0545541851151365,1.0545541851151365
2010-07-27,1.054208446264366,0.0,1.054208446264366,1.054208446264366,0,1.0,1.054208446264366,1.054208446264366
2010-07-28,1.0538628207651466,0.0,1.0538628207651466,1.0538628207651466,0,1.0,1.0538628207651466,1.0538628207651466
2010-07-29,1.053517308580316,0.0,1.053517308580316,1.053517308580316,0,1.0,1.053517308580316,1.053517308580316
2010-07-30,1.053171909672724,0.0,1.053171909672724,1.053171909672724,0,1.0,1.053171909672724,1.053171909672724
2010-08-02,1.0528266240052317,0.0,1.0528266240052317,1.0528266240052317,0,1.0,1.0528266240052317,1.0528266240052317
2010-08-03,1.0524814515407135,0.0,1.0524814515407135,1.0524814515407135,0,1.0,1.0524814515407135,1.0524814515407135
2010-08-04,1.052136392242055,0.0,1.052136392242055,1.052136392242055,0,1.0,1.052136392242055,1.052136392242055
2010-08-05,1.0517914460721547,0.0,1.0517914460721547,1.0517914460721547,0,1.0,1.0517914460721547,1.0517914460721547
2010-08-06,1.051446612993923,0.0,1.051446612993923,1.051446612993923,0,1.0,1.051446612993923,1.051446612993923
2010-08-09,1.0511018929702824,0.0,1.0511018929702824,1.0511018929702824,0,1.0,1.0511018929702824,1.0511018929702824
2010-08-10,1.0507572859641676,0.0,1.0507572859641676,1.0507572859641676,0,1.0,1.0507572859641676,1.0507572859641676
2010-08-11,1.0504127919385253,0.0,1.0504127919385253,1.0504127919385253,0,1.0,1.0504127919385253,1.0504127919385253
2010-08-12,1.0500684108563147,0.0,1.0500684108563147,1.0500684108563147,0,1.0,1.0500684108563147,1.0500684108563147
2010-08-13,1.049724142680507,0.0,1.049724142680507,1.049724142680507,0,1.0,1.049724142680507,1.049724142680507
2010-08-16,1.0493799873740854,0.0,1.0493799873740854,1.0493799873740854,0,1.0,1.0493799873740854,1.0493799873740854
2010-08-17,1.0490359449000453,0.0,1.0490359449000453,1.0490359449000453,0,1.0,1.0490359449000453,1.0490359449000453
2010-08-18,1.048692015221394,0.0,1.048692015221394,1.048692015221394,0,1.0,1.048692015221394,1.048692015221394
2010-08-19,1.0483481983011518,0.0,1.0483481983011518,1.0483481983011518,0,1.0,1.0483481983011518,1.0483481983011518
2010-08-20,1.0480044941023499,0.0,1.0480044941023499,1.0480044941023499,0,1.0,1.0480044941023499,1.0480044941023499
2010-08-23,1.0476609025880326,0.0,1.0476609025880326,1.0476609025880326,0,1.0,1.0476609025880326,1.0476609025880326
2010-08-24,1.0473174237212557,0.0,1.0473174237212557,1.0473174237212557,0,1.0,1.0473174237212557,1.0473174237212557
2010-08-25,1.0469740574650874,0.0,1.0469740574650874,1.0469740574650874,0,1.0,1.0469740574650874,1.0469740574650874
2010-08-26,1.0466308037826082,0.0,1.0466308037826082,1.0466308037826082,0,1.0,1.0466308037826082,1.0466308037826082
2010-08-27,1.0462876626369102,0.0,1.0462876626369102,1.0462876626369102,0,1.0,1.0462876626369102,1.0462876626369102
2010-08-30,1.045944633991098,0.0,1.045944633991098,1.045944633991098,0,1.0,1.045944633991098,1.045944633991098
2010-08-31,1.0456017178082881,0.0,1.0456017178082881,1.0456017178082881,0,1.0,1.0456017178082881,1.0456017178082881
2010-09-01,1.0452589140516093,0.0,1.0452589140516093,1.0452589140516093,0,1.0,1.0452589140516093,1.0452589140516093
2010-09-02,1.0449162226842021,0.0,1.0449162226842021,1.0449162226842021,0,1.0,1.0449162226842021,1.0449162226842021
2010-09-03,1.0445736436692197,0.0,1.0445736436692197,1.0445736436692197,0,1.0,1.0445736436692197,1.0445736436692197
2010-09-06,1.0442311769698267,0.0,1.0442311769698267,1.0442311769698267,0,1.0,1.0442311769698267,1.0442311769698267
2010-09-07,1.0438888225492,0.0,1.0438888225492,1.0438888225492,0,1.0,1.0438888225492,1.0438888225492
2010-09-08,1.043546580370529,0.0,1.043546580370529,1.043546580370529,0,1.0,1.043546580370529,1.043546580370529
2010-09-09,1.0432044503970146,0.0,1.0432044503970146,1.0432044503970146,0,1.0,1.0432044503970146,1.0432044503970146
2010-09-10,1.04286243259187,0.0,1.04286243259187,1.04286243259187,0,1.0,1.04286243259187,1.04286243259187
2010-09-13,1.0425205269183206,0.0,1.0425205269183206,1.0425205269183206,0,1.0,1.0425205269183206,1.0425205269183206
2010-09-14,1.0421787333396035,0.0,1.0421787333396035,1.0421787333396035,0,1.0,1.0421787333396035,1.0421787333396035
2010-09-15,1.0418370518189684,0.0,1.0418370518189684,1.0418370518189684,0,1.0,1.0418370518189684,1.0418370518189684
2010-09-16,1.0414954823196763,0.0,1.0414954823196763,1.0414954823196763,0,1.0,1.0414954823196763,1.0414954823196763
2010-09-17,1.0411540248050009,0.0,1.0411540248050009,1.0411540248050009,0,1.0,1.0411540248050009,1.0411540248050009
2010-09-20,1.0408126792382275,0.0,1.0408126792382275,1.0408126792382275,0,1.0,1.0408126792382275,1.0408126792382275
2010-09-24,1.0404714455826538,0.0,1.0404714455826538,1.0404714455826538,0,1.0,1.0404714455826538,1.0404714455826538
2010-09-27,1.0401303238015893,0.0,1.0401303238015893,1.0401303238015893,0,1.0,1.0401303238015893,1.0401303238015893
2010-09-28,1.0397893138583558,0.0,1.0397893138583558,1.0397893138583558,0,1.0,1.0397893138583558,1.0397893138583558
2010-09-29,1.0394484157162867,0.0,1.0394484157162867,1.0394484157162867,0,1.0,1.0394484157162867,1.0394484157162867
2010-09-30,1.0391076293387276,0.0,1.0391076293387276,1.0391076293387276,0,1.0,1.0391076293387276,1.0391076293387276
2010-10-01,1.038880194836059,0.0,1.038880194836059,1.038880194836059,0,1.0,1.038880194836059,1.038880194836059
2010-10-04,1.038652810113078,0.0,1.038652810113078,1.038652810113078,0,1.0,1.038652810113078,1.038652810113078
2010-10-05,1.0384254751588888,0.0,1.0384254751588888,1.0384254751588888,0,1.0,1.0384254751588888,1.0384254751588888
2010-10-06,1.0381981899625985,0.0,1.0381981899625985,1.0381981899625985,0,1.0,1.0381981899625985,1.0381981899625985
2010-10-07,1.0379709545133162,0.0,1.0379709545133162,1.0379709545133162,0,1.0,1.0379709545133162,1.0379709545133162
2010-10-08,1.0377437688001536,0.0,1.0377437688001536,1.0377437688001536,0,1.0,1.0377437688001536,1.0377437688001536
2010-10-11,1.0375166328122245,0.0,1.0375166328122245,1.0375166328122245,0,1.0,1.0375166328122245,1.0375166328122245
2010-10-12,1.0372895465386456,0.0,1.0372895465386456,1.0372895465386456,0,1.0,1.0372895465386456,1.0372895465386456
2010-10-13,1.0370625099685356,0.0,1.0370625099685356,1.0370625099685356,0,1.0,1.0370625099685356,1.0370625099685356
2010-10-14,1.0368355230910156,0.0,1.0368355230910156,1.0368355230910156,0,1.0,1.0368355230910156,1.0368355230910156
2010-10-15,1.036608585895209,0.0,1.036608585895209,1.036608585895209,0,1.0,1.036608585895209,1.036608585895209
2010-10-18,1.0363816983702419,0.0,1.0363816983702419,1.0363816983702419,0,1.0,1.0363816983702419,1.0363816983702419
2010-10-19,1.0361548605052426,0.0,1.0361548605052426,1.0361548605052426,0,1.0,1.0361548605052426,1.0361548605052426
2010-10-20,1.0359280722893418,0.0,1.0359280722893418,1.0359280722893418,0,1.0,1.0359280722893418,1.0359280722893418
2010-10-21,1.0357013337116725,0.0,1.0357013337116725,1.0357013337116725,0,1.0,1.0357013337116725,1.0357013337116725
2010-10-22,1.0354746447613703,0.0,1.0354746447613703,1.0354746447613703,0,1.0,1.0354746447613703,1.0354746447613703
2010-10-25,1.0352480054275728,0.0,1.0352480054275728,1.0352480054275728,0,1.0,1.0352480054275728,1.0352480054275728
2010-10-26,1.0350214156994204,0.0,1.0350214156994204,1.0350214156994204,0,1.0,1.0350214156994204,1.0350214156994204
2010-10-27,1.0347948755660554,0.0,1.0347948755660554,1.0347948755660554,0,1.0,1.0347948755660554,1.0347948755660554
2010-10-28,1.034568385016623,0.0,1.034568385016623,1.034568385016623,0,1.0,1.034568385016623,1.034568385016623
2010-10-29,1.0343419440402704,0.0,1.0343419440402704,1.0343419440402704,0,1.0,1.0343419440402704,1.0343419440402704
2010-11-01,1.0341155526261474,0.0,1.0341155526261474,1.0341155526261474,0,1.0,1.0341155526261474,1.0341155526261474
2010-11-02,1.033889210763406,0.0,1.033889210763406,1.033889210763406,0,1.0,1.033889210763406,1.033889210763406
2010-11-03,1.0336629184412005,0.0,1.0336629184412005,1.0336629184412005,0,1.0,1.0336629184412005,1.0336629184412005
2010-11-04,1.0334366756486881,0.0,1.0334366756486881,1.0334366756486881,0,1.0,1.0334366756486881,1.0334366756486881
2010-11-05,1.0332104823750277,0.0,1.0332104823750277,1.0332104823750277,0,1.0,1.0332104823750277,1.0332104823750277
2010-11-08,1.0329843386093809,0.0,1.0329843386093809,1.0329843386093809,0,1.0,1.0329843386093809,1.0329843386093809
2010-11-09,1.0327582443409118,0.0,1.0327582443409118,1.0327582443409118,0,1.0,1.0327582443409118,1.0327582443409118
2010-11-10,1.0325321995587866,0.0,1.0325321995587866,1.0325321995587866,0,1.0,1.0325321995587866,1.0325321995587866
2010-11-11,1.032306204252174,0.0,1.032306204252174,1.032306204252174,0,1.0,1.032306204252174,1.032306204252174
2010-11-12,1.032080258410245,0.0,1.032080258410245,1.032080258410245,0,1.0,1.032080258410245,1.032080258410245
2010-11-15,1.0318543620221732,0.0,1.0318543620221732,1.0318543620221732,0,1.0,1.0318543620221732,1.0318543620221732
2010-11-16,1.0316285150771343,0.0,1.0316285150771343,1.0316285150771343,0,1.0,1.0316285150771343,1.0316285150771343
2010-11-17,1.0314027175643063,0.0,1.0314027175643063,1.0314027175643063,0,1.0,1.0314027175643063,1.0314027175643063
2010-11-18,1.0311769694728699,0.0,1.0311769694728699,1.0311769694728699,0,1.0,1.0311769694728699,1.0311769694728699
2010-11-19,1.0309512707920079,0.0,1.0309512707920079,1.0309512707920079,0,1.0,1.0309512707920079,1.0309512707920079
2010-11-22,1.0307256215109057,0.0,1.0307256215109057,1.0307256215109057,0,1.0,1.0307256215109057,1.0307256215109057
2010-11-23,1.030500021618751,0.0,1.030500021618751,1.030500021618751,0,1.0,1.030500021618751,1.030500021618751
2010-11-24,1.0302744711047336,0.0,1.0302744711047336,1.0302744711047336,0,1.0,1.0302744711047336,1.0302744711047336
2010-11-25,1.030048969958046,0.0,1.030048969958046,1.030048969958046,0,1.0,1.030048969958046,1.030048969958046
2010-11-26,1.0298235181678828,0.0,1.0298235181678828,1.0298235181678828,0,1.0,1.0298235181678828,1.0298235181678828
2010-11-29,1.029598115723441,0.0,1.029598115723441,1.029598115723441,0,1.0,1.029598115723441,1.029598115723441
2010-11-30,1.0293727626139204,0.0,1.0293727626139204,1.0293727626139204,0,1.0,1.0293727626139204,1.0293727626139204
2010-12-01,1.0291474588285228,0.0,1.0291474588285228,1.0291474588285228,0,1.0,1.0291474588285228,1.0291474588285228
2010-12-02,1.028922204356452,0.0,1.028922204356452,1.028922204356452,0,1.0,1.028922204356452,1.028922204356452
2010-12-03,1.028696999186915,0.0,1.028696999186915,1.028696999186915,0,1.0,1.028696999186915,1.028696999186915
2010-12-06,1.0284718433091207,0.0,1.0284718433091207,1.0284718433091207,0,1.0,1.0284718433091207,1.0284718433091207
2010-12-07,1.02824673671228,0.0,1.02824673671228,1.02824673671228,0,1.0,1.02824673671228,1.02824673671228
2010-12-08,1.028021679385607,0.0,1.028021679385607,1.028021679385607,0,1.0,1.028021679385607,1.028021679385607
2010-12-09,1.0277966713183173,0.0,1.0277966713183173,1.0277966713183173,0,1.0,1.0277966713183173,1.0277966713183173
2010-12-10,1.0275717124996293,0.0,1.0275717124996293,1.0275717124996293,0,1.0,1.0275717124996293,1.0275717124996293
2010-12-13,1.027346802918764,0.0,1.027346802918764,1.027346802918764,0,1.0,1.027346802918764,1.027346802918764
2010-12-14,1.0271219425649443,0.0,1.0271219425649443,1.0271219425649443,0,1.0,1.0271219425649443,1.0271219425649443
2010-12-15,1.0268971314273956,0.0,1.0268971314273956,1.0268971314273956,0,1.0,1.0268971314273956,1.0268971314273956
2010-12-16,1.0266723694953457,0.0,1.0266723694953457,1.0266723694953457,0,1.0,1.0266723694953457,1.0266723694953457
2010-12-17,1.0264476567580247,0.0,1.0264476567580247,1.0264476567580247,0,1.0,1.0264476567580247,1.0264476567580247
2010-12-20,1.0262229932046654,0.0,1.0262229932046654,1.0262229932046654,0,1.0,1.0262229932046654,1.0262229932046654
2010-12-21,1.0259983788245024,0.0,1.0259983788245024,1.0259983788245024,0,1.0,1.0259983788245024,1.0259983788245024
2010-12-22,1.025773813606773,0.0,1.025773813606773,1.025773813606773,0,1.0,1.025773813606773,1.025773813606773
2010-12-23,1.025549297540717,0.0,1.025549297540717,1.025549297540717,0,1.0,1.025549297540717,1.025549297540717
2010-12-24,1.025324830615576,0.0,1.025324830615576,1.025324830615576,0,1.0,1.025324830615576,1.025324830615576
2010-12-27,1.0251004128205945,0.0,1.0251004128205945,1.0251004128205945,0,1.0,1.0251004128205945,1.0251004128205945
2010-12-28,1.0248760441450189,0.0,1.0248760441450189,1.0248760441450189,0,1.0,1.0248760441450189,1.0248760441450189
2010-12-29,1.0246517245780984,0.0,1.0246517245780984,1.0246517245780984,0,1.0,1.0246517245780984,1.0246517245780984
2010-12-30,1.0244274541090843,0.0,1.0244274541090843,1.0244274541090843,0,1.0,1.0244274541090843,1.0244274541090843
2011-01-03,1.0242437425338167,0.0,1.0242437425338167,1.0242437425338167,0,1.0,1.0242437425338167,1.0242437425338167
