krx_industry_name,mapped_sector_code,mapped_sector_name,focus_review,suspicious,note
IT 서비스,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
IT부품,01,반도체/IT하드웨어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
건설,12,건설/부동산,False,False,
광업,11,에너지/유틸리티,False,False,
금속,04,철강금속,False,False,
금융,06,금융,False,False,
기계·장비,05,조선/기계/산업재,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
기타,99,기타,False,False,
기타금융,06,금융,False,False,
기타제조,99,기타,False,False,
농업 임업 및 어업,10,음식료,False,False,
디지털컨텐츠,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
반도체,01,반도체/IT하드웨어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
방송서비스,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
보험,06,금융,False,False,
부동산,12,건설/부동산,False,False,
비금속,03,2차전지/화학/소재,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
섬유·의류,09,소비재/유통,False,False,
소프트웨어,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
오락·문화,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
운송·창고,05,조선/기계/산업재,False,False,
운송장비·부품,02,자동차/운송장비,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
유통,09,소비재/유통,False,False,
은행,06,금융,False,False,
음식료·담배,10,음식료,False,False,
의료·정밀기기,07,헬스케어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
인터넷,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
일반서비스,99,기타,True,False,Residual KRX service bucket mapped to 99 기타 by explicit manual_review; economically broad.
전기·가스,11,에너지/유틸리티,False,False,
전기·가스·수도,11,에너지/유틸리티,False,False,
전기·전자,01,반도체/IT하드웨어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
정보기기,01,반도체/IT하드웨어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
제약,07,헬스케어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
종이·목재,03,2차전지/화학/소재,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
증권,06,금융,False,False,
출판·매체복제,08,인터넷/게임/SW,False,False,
컴퓨터서비스,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
통신,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
통신서비스,08,인터넷/게임/SW,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
통신장비,01,반도체/IT하드웨어,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
화학,03,2차전지/화학/소재,True,False,Focus group reviewed; mapping is directionally consistent with frozen 12-group taxonomy.
