ticker,cik,entity_name,us_gaap_concept_count,earliest_filing,latest_filing,Revenue,NetIncome,OperatingIncome,StockholdersEquity,Assets,CFO,Buybacks,Cash,LongTermDebt,TotalLiabilities,EPS_Basic,EPS_Diluted,CapEx,Shares,Dividends
AAPL,0000320193,Apple Inc.,503,2009-07-22,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSFT,0000789019,MICROSOFT CORPORATION,544,2009-10-23,2026-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GOOGL,0001652044,Alphabet Inc.,523,2015-10-29,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GOOG,0001652044,Alphabet Inc.,523,2015-10-29,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMZN,0001018724,"AMAZON.COM, INC.",542,2009-07-24,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
META,0001326801,"Meta Platforms, Inc.",456,2012-07-31,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NVDA,0001045810,NVIDIA CORPORATION,625,2009-08-20,2026-05-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRK-B,0001067983,BERKSHIRE HATHAWAY INC,437,2009-11-06,2026-05-04,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
TSLA,0001318605,"Tesla, Inc.",642,2011-08-12,2026-04-23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
JPM,0000019617,JPMORGAN CHASE & CO,917,2009-08-10,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
V,0001403161,VISA INC.,625,2009-07-30,2026-04-29,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
MA,0001141391,Mastercard Incorporated,606,2009-07-31,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PG,0000080424,PROCTER & GAMBLE CO,448,2009-10-29,2026-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JNJ,0000200406,Johnson & Johnson,609,2009-08-04,2026-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HD,0000354950,"THE HOME DEPOT, INC.",461,2009-09-03,2026-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UNH,0000731766,UnitedHealth Group Incorporated,573,2009-08-06,2026-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BAC,0000070858,BANK OF AMERICA CORP /DE/,891,2009-08-07,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
XOM,0000034088,Exxon Mobil Corporation,438,2009-08-05,2026-05-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVX,0000093410,Chevron Corp,622,2009-05-07,2026-05-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KO,0000021344,COCA COLA CO,724,2009-07-30,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PEP,0000077476,"PepsiCo, Inc.",611,2009-10-08,2026-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABBV,0001551152,AbbVie Inc.,453,2013-05-08,2026-05-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MRK,0000310158,"Merck & Co., Inc.",774,2009-07-24,2026-05-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PFE,0000078003,Pfizer Inc.,666,2009-08-06,2026-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COST,0000909832,COSTCO WHOLESALE CORP /NEW,458,2009-12-18,2026-03-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AVGO,0001730168,Broadcom Inc.,432,2018-06-14,2026-03-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WMT,0000104169,Walmart Inc.,478,2009-09-09,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LLY,0000059478,ELI LILLY & Co,548,2009-07-31,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORCL,0001341439,Oracle Corporation,511,2009-09-21,2026-03-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADBE,0000796343,ADOBE INC.,558,2009-06-26,2026-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CRM,0001108524,"Salesforce, Inc.",686,2009-08-25,2026-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NFLX,0001065280,"Netflix, Inc.",490,2009-07-31,2026-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CSCO,0000858877,"CISCO SYSTEMS, INC.",768,2009-11-18,2026-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
INTC,0000050863,INTEL CORP,672,2009-08-03,2026-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMD,0000002488,ADVANCED MICRO DEVICES INC,776,2010-08-04,2026-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
QCOM,0000804328,QUALCOMM INC/DE,685,2009-07-22,2026-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TXN,0000097476,TEXAS INSTRUMENTS INCORPORATED,482,2009-07-29,2026-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,777,2009-07-28,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE,0000040545,GENERAL ELECTRIC COMPANY,941,2009-08-03,2026-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BA,0000012927,THE BOEING COMPANY,742,2009-07-22,2026-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAT,0000018230,CATERPILLAR INC,702,2009-08-12,2026-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DE,0000315189,DEERE & CO,662,2009-08-28,2026-02-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RTX,0000101829,RTX CORPORATION,735,2009-07-24,2026-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LMT,0000936468,LOCKHEED MARTIN CORPORATION,536,2009-07-22,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GS,0000886982,"The Goldman Sachs Group, Inc.",638,2009-08-05,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MS,0000895421,MORGAN STANLEY,914,2009-08-07,2026-05-05,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
C,0000831001,Citigroup Inc,796,2009-11-06,2026-02-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WFC,0000072971,WELLS        FARGO & COMPANY/MN,937,2009-08-07,2026-04-29,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AXP,0000004962,AMERICAN EXPRESS CO,665,2009-09-02,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLK,0002012383,"BlackRock, Inc.",287,2024-11-06,2026-05-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SPGI,0000064040,S&P Global Inc.,622,2009-07-29,2026-04-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BX,0001393818,Blackstone Inc.,428,2010-08-06,2026-05-08,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
PYPL,0001633917,"PayPal Holdings, Inc.",500,2015-07-29,2026-05-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
INTU,0000896878,INTUIT INC.,519,2009-12-04,2026-02-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOW,0001373715,"ServiceNow, Inc.",528,2012-08-10,2026-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABT,0000001800,ABBOTT LABORATORIES,476,2009-08-07,2026-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TMO,0000097745,THERMO FISHER SCIENTIFIC INC.,674,2009-07-31,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMGN,0000318154,Amgen Inc.,475,2009-08-10,2026-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDT,0001613103,Medtronic plc,521,2015-02-27,2026-02-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BMY,0000014272,Bristol-Myers Squibb Company,838,2009-07-23,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GILD,0000882095,"GILEAD SCIENCES, INC.",722,2009-08-05,2026-05-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CI,0001739940,The Cigna Group,409,2019-02-28,2026-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ELV,0001156039,"ELEVANCE HEALTH, INC.",782,2009-07-29,2026-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHR,0000313616,DANAHER CORP /DE/,620,2009-07-23,2026-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SYK,0000310764,STRYKER CORP,594,2009-09-03,2026-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZTS,0001555280,Zoetis Inc.,534,2013-05-15,2026-05-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
