year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c011_v8_macro_gate_mcap_net_total_return,v10_minus_v8_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,-0.1488550811365689,0.1488550811365689
2012,0.026244552924422848,0.18731018909741426,0.0,0.026244552924423,-1.5265566588595902e-16
2013,-0.02819309888575494,0.06125736750042954,0.0,-0.0281930988857552,2.6020852139652106e-16
2014,-0.07836784555750465,0.05769800682302639,0.0,-0.0783678455575052,5.551115123125783e-16
2015,-0.15879485716997932,0.16501292442133764,0.0,-0.1587948571699787,-6.106226635438361e-16
2017,0.09401472235486152,0.31675953872996554,0.0,0.0940147223548613,2.220446049250313e-16
2018,-0.4425899844893092,-0.08401784948302582,0.0,-0.4425899844893092,0.0
2019,0.11725673833786443,0.17019485930094325,0.0,0.1172567383378642,2.3592239273284576e-16
2020,0.4630990404450497,0.5251287429311848,0.0,0.4630990404450492,4.996003610813204e-16
2021,-0.12419945981131242,0.13170240063376726,0.0,-0.1241994598113126,1.8041124150158794e-16
2022,-0.09716827644733173,-0.18442405395793493,0.0,-0.0971682764473319,1.8041124150158794e-16
2023,-0.017729397197116414,0.3279894204214897,0.0,-0.0177293971971163,-1.1449174941446927e-16
2024,0.014081826253520058,0.034981455283805474,0.0,0.01408182625352,5.724587470723463e-17
2025,0.7666554035490452,1.047004780803555,0.0,0.7666554035490463,-1.1102230246251565e-15
2026,0.5621484118981521,0.7344109727369705,0.0,0.5621484118981515,6.661338147750939e-16
