signal,subperiod,trade_count,gross_mean,net_mean
r1d_lt_m3_hold1,2018_2020,235,0.042027515737030445,0.02205413275859664
r1d_lt_m3_hold1,2021_2023,224,0.06417161002234797,0.03996351720545183
r1d_lt_m3_hold1,2024_2026,147,0.049330486260599056,0.0273600619185872
r1d_lt_m3_hold3,2018_2020,232,0.22227672876398313,0.15590483081985776
r1d_lt_m3_hold3,2021_2023,201,0.1296975412595957,0.08211290302384225
r1d_lt_m3_hold3,2024_2026,97,0.19606620728815702,0.1382636836437626
r1d_lt_m3_hold5,2018_2020,228,0.252785077079985,0.17684491126104948
r1d_lt_m3_hold5,2021_2023,182,0.18754437835472512,0.12210399818842389
r1d_lt_m3_hold5,2024_2026,76,0.28904610544801934,0.20634000301606967
r3d_lt_m7_hold3,2018_2020,235,1.4795177616917874,1.136050226334972
r3d_lt_m7_hold3,2021_2023,210,0.16015597462392434,0.10704041098953689
r3d_lt_m7_hold3,2024_2026,104,0.23007344351171752,0.16385045977355636
volume_z_gt2_crash_hold1,2018_2020,239,0.01040783795016859,-0.0012161154467559188
volume_z_gt2_crash_hold1,2021_2023,240,-0.0019243860142414285,-0.011424639761384005
volume_z_gt2_crash_hold1,2024_2026,193,0.001016192249916981,-0.008814157890272574
volume_z_gt2_crash_hold3,2018_2020,239,0.016777797160292204,-0.0019173876617436202
volume_z_gt2_crash_hold3,2021_2023,234,-0.002348957814337862,-0.016061531631424868
volume_z_gt2_crash_hold3,2024_2026,179,0.01044300455923537,-0.0035705614229226907
