dataset_id,column_name,decision,reason,source,pit_status,raw_or_adjusted
equity_panel_kiwoom_2010_2016,날짜,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,종목코드,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,종목명,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_or_krx,available_with_lookahead_risk,raw
equity_panel_kiwoom_2010_2016,시가,ALLOW_WITH_GUARD,RAW unadjusted price/volume; use only with corporate-action handling — see KR_OHLCV_UNIT_INVARIANT_A0 / W001 v2 adjusted overlay,vendor_kiwoom_or_krx,available_PIT,raw_unadjusted
equity_panel_kiwoom_2010_2016,고가,ALLOW_WITH_GUARD,RAW unadjusted price/volume; use only with corporate-action handling — see KR_OHLCV_UNIT_INVARIANT_A0 / W001 v2 adjusted overlay,vendor_kiwoom_or_krx,available_PIT,raw_unadjusted
equity_panel_kiwoom_2010_2016,저가,ALLOW_WITH_GUARD,RAW unadjusted price/volume; use only with corporate-action handling — see KR_OHLCV_UNIT_INVARIANT_A0 / W001 v2 adjusted overlay,vendor_kiwoom_or_krx,available_PIT,raw_unadjusted
equity_panel_kiwoom_2010_2016,종가,ALLOW_WITH_GUARD,RAW unadjusted price/volume; use only with corporate-action handling — see KR_OHLCV_UNIT_INVARIANT_A0 / W001 v2 adjusted overlay,vendor_kiwoom_or_krx,available_PIT,raw_unadjusted
equity_panel_kiwoom_2010_2016,거래량,ALLOW_WITH_GUARD,RAW unadjusted price/volume; use only with corporate-action handling — see KR_OHLCV_UNIT_INVARIANT_A0 / W001 v2 adjusted overlay,vendor_kiwoom_or_krx,available_PIT,raw_unadjusted
equity_panel_kiwoom_2010_2016,Change,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_or_krx,available_with_lookahead_risk,raw_unadjusted
equity_panel_kiwoom_2010_2016,기관순매매량,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_estimation,available_with_lookahead_risk,raw
equity_panel_kiwoom_2010_2016,외국인순매매량,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_estimation,available_with_lookahead_risk,raw
equity_panel_kiwoom_2010_2016,기관순매수금액추정,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_estimation,available_with_lookahead_risk,raw
equity_panel_kiwoom_2010_2016,외국인순매수금액추정,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_estimation,available_with_lookahead_risk,raw
equity_panel_kiwoom_2010_2016,거래대금추정,ALLOW_WITH_GUARD,vendor estimation; reconciliation gap acceptable (FLOW_000007 closure) but flag required at usage,vendor_kiwoom_estimation,available_PIT,raw
equity_panel_kiwoom_2010_2016,시가총액추정,ALLOW_WITH_GUARD,vendor estimation; reconciliation gap acceptable (FLOW_000007 closure) but flag required at usage,vendor_kiwoom_estimation,available_PIT,raw
equity_panel_kiwoom_2010_2016,상장주식수,ALLOW_WITH_GUARD,PIT lookahead risk — must shift/lag at use site,vendor_kiwoom_or_krx,available_with_lookahead_risk,raw
equity_panel_kiwoom_2010_2016,수급금액추정여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,거래대금추정여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,시가총액추정여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,통합거래량반영여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,통합종가반영여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,통합종가제외여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
equity_panel_kiwoom_2010_2016,가격범위후보정여부,ALLOW,metadata complete; usage permitted within phase-allowed scope,vendor_kiwoom_or_krx,available_PIT,raw
