signal_date,quarter,composite,exposure_scalar,forward_quarter_return
2017-12-28,2017Q4,-0.9687090264120095,0.0,0.0
2018-03-30,2018Q1,-1.1360078297017127,0.0,0.0
2018-06-29,2018Q2,-1.1141840741469748,0.0,0.0
2018-09-28,2018Q3,-0.576079536888737,0.0,0.0
2018-12-28,2018Q4,-0.4073895350378036,0.0,0.0
2019-03-29,2019Q1,-0.14134607961397616,0.0,0.0
2019-06-28,2019Q2,0.3421985262665735,0.3421985262665735,-0.013290920240398685
2019-09-30,2019Q3,0.22808480070388715,0.22808480070388715,0.018373933695620792
2019-12-30,2019Q4,-0.05810945016956437,0.0,0.0
2020-03-31,2020Q1,-0.5028209425422792,0.0,0.0
2020-06-30,2020Q2,-0.12736266221788034,0.0,0.0
2020-09-29,2020Q3,0.13272132072704226,0.13272132072704226,0.03296428960057107
2020-12-30,2020Q4,0.40009800065978657,0.40009800065978657,-0.018350477290941414
2021-03-31,2021Q1,-0.23113777380474423,0.0,0.0
2021-06-30,2021Q2,-0.4437125413354644,0.0,0.0
2021-09-30,2021Q3,-0.41859862800447606,0.0,0.0
2021-12-30,2021Q4,-0.7178047450573325,0.0,0.0
2022-03-31,2022Q1,-1.1472766472941949,0.0,0.0
2022-06-30,2022Q2,-1.1791740118216183,0.0,0.0
2022-09-30,2022Q3,-1.1188100949187751,0.0,0.0
2022-12-29,2022Q4,-0.3662253374640972,0.0,0.0
2023-03-31,2023Q1,0.11110100363047261,0.11110100363047261,0.005647966422058781
2023-06-30,2023Q2,0.4488542163174268,0.4488542163174268,-0.056380252884967064
2023-09-27,2023Q3,0.46946949564920654,0.46946949564920654,0.03895168520012815
2023-12-28,2023Q4,0.3246494443899061,0.3246494443899061,0.029813286715079323
2024-03-29,2024Q1,0.09390143901567,0.09390143901567,0.005163688545446243
2024-06-28,2024Q2,-0.1190080638261554,0.0,0.0
2024-09-30,2024Q3,0.406119394065737,0.406119394065737,-0.03153340966878526
2024-12-30,2024Q4,0.02045978126894817,0.02045978126894817,0.0007432186890814485
2025-03-31,2025Q1,0.10464141011208321,0.10464141011208321,0.00786855744649273
2025-06-30,2025Q2,0.25389500186775044,0.25389500186775044,0.039332273777246796
2025-09-30,2025Q3,0.3946939283634632,0.3946939283634632,0.14418589686513417
