year,macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,c008_v6_macro_gate_mcap_net_total_return,v7_minus_v6_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,-0.14885508113656898,0.004079681302652238,0.0,-0.1488550811365689,-8.326672684688674e-17
2012,-0.046826673821664055,0.18731018909741426,0.0,-0.046826673821664,-5.551115123125783e-17
2013,-0.02819309888575494,0.06125736750042954,0.0,-0.0281930988857549,-4.163336342344337e-17
2014,-0.07836784555750498,0.05769800682302639,0.0,-0.0783678455575049,-8.326672684688674e-17
2015,-0.158794857169979,0.16501292442133764,0.0,-0.158794857169979,0.0
2017,0.09401472235486108,0.31675953872996554,0.0,0.094014722354861,8.326672684688674e-17
2018,-0.4425899844893092,-0.08401784948302582,0.0,-0.4425899844893092,0.0
2019,0.059940094807804156,0.17019485930094325,0.0,0.0599400948078041,5.551115123125783e-17
2020,0.4630990404450499,0.5251287429311848,0.0,0.4630990404450499,0.0
2021,-0.12419945981131264,0.13170240063376726,0.0,-0.1241994598113126,-4.163336342344337e-17
2022,-0.2591599190160776,-0.18442405395793493,0.0,-0.0971682764473319,-0.1619916425687457
2023,-0.01772939719711586,0.3279894204214897,0.0,-0.0177293971971159,4.163336342344337e-17
2024,-0.016910174858550397,0.034981455283805474,0.0,0.0103944363767172,-0.027304611235267597
2025,0.7666554035490456,1.047004780803555,0.0,0.766655403549046,-4.440892098500626e-16
2026,0.5621484118981517,0.7344109727369705,0.0,0.5621484118981519,-2.220446049250313e-16
