rcept_no,rcept_dt,stock_code,event_category,is_correction,parse_status,residual_class,blocker_tags,taxonomy_root_cause,source_recovery_class,correction_confidence_5tier,correction_action_class,correction_supersession_ready,review_bucket,review_priority_note,manual_review_required,executable_or_safe,downstream_authoritative,parsed_clean_and_usable,recovered,human_validation_claimed
20100104800008,20100104,073240,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100107900091,20100107,018000,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100121800416,20100121,008320,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100121900059,20100121,018000,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100204900181,20100204,037440,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100208800004,20100208,002990,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100211900740,20100211,036090,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100219900736,20100219,067850,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100305800323,20100305,069470,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_value_in_unhandled_format,,,,,parser_unhandled_format,label present; value in relative/non-ISO/unhandled format; human can interpret,True,False,False,False,False,False
20100308800776,20100308,012090,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100310800118,20100310,004550,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100311900027,20100311,047820,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100311901592,20100311,030520,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100312901132,20100312,037550,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100319802052,20100319,069470,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100319901646,20100319,084810,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100322800327,20100322,024870,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100322800900,20100322,001600,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100322900199,20100322,039350,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100323800471,20100323,017300,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100323900006,20100323,060900,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100323900643,20100323,018890,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100323900697,20100323,019550,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100323900700,20100323,068770,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100324800285,20100324,004820,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100324800564,20100324,084680,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100324900019,20100324,060900,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100325800898,20100325,011050,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100326801884,20100326,013240,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100329800013,20100329,018410,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100330901313,20100330,034510,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100331902855,20100331,045290,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_high_validated_design_only|manual_review_required,,,high_validated,accepted_high_validated_design_only,yes,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100402800211,20100402,900030,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100406900218,20100406,052510,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100415900118,20100415,036850,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100415900438,20100415,036260,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100420800006,20100420,004550,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100420900404,20100420,036260,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100423800002,20100423,004550,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100423900391,20100423,024840,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100426800466,20100426,005110,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_value_in_unhandled_format,,,,,parser_unhandled_format,label present; value in relative/non-ISO/unhandled format; human can interpret,True,False,False,False,False,False
20100428900278,20100428,068770,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_wrong_candidate_quarantined|manual_review_required,,,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,,rejected_wrong_candidate_quarantine,scored candidate not body-confirmed; quarantined; human confirms wrong-candidate,True,False,False,False,False,False
20100503800015,20100503,000000,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100503800018,20100503,004550,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100503800090,20100503,011400,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100510900512,20100510,037440,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100525800364,20100525,101790,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100604800002,20100604,005980,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100625800415,20100625,005980,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100705800432,20100705,001260,resumption_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100709900454,20100709,018890,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100713800064,20100713,012580,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20100721900323,20100721,060900,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20100811900299,20100811,019660,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100816900010,20100816,084180,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20100917900141,20100917,027710,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101015900293,20101015,068930,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101015900434,20101015,038120,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101123900369,20101123,052210,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20101126900274,20101126,060900,resumption_related,True,no_label_match,usable_html_inline,parser_no_label_match|correction_manual_review_required|correction_no_link_insufficient_evidence|manual_review_required,correction_disclosure_manual_only,,no_link,no_link_insufficient_evidence,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101202900370,20101202,058370,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20101203800171,20101203,002210,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20101207800314,20101207,014590,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20101208900051,20101208,095190,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101208900110,20101208,046240,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20101223900406,20101223,084450,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101228900194,20101228,067160,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_high_validated_design_only|manual_review_required,,,high_validated,accepted_high_validated_design_only,yes,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20101230900335,20101230,024840,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_value_in_unhandled_format,,,,,parser_unhandled_format,label present; value in relative/non-ISO/unhandled format; human can interpret,True,False,False,False,False,False
20110105900299,20110105,019120,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110128800710,20110128,014590,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110211900655,20110211,083790,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110215800043,20110215,002780,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110221900147,20110221,019430,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110224900602,20110224,026250,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110302800011,20110302,002780,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110314900626,20110314,031950,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110318800215,20110318,101140,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110318800229,20110318,101140,resumption_related,True,label_no_value,usable_html_inline,parser_label_no_value|correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,correction_disclosure_manual_only,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110321900746,20110321,039350,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110323900723,20110323,054150,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_wrong_candidate_quarantined|manual_review_required,,,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,,rejected_wrong_candidate_quarantine,scored candidate not body-confirmed; quarantined; human confirms wrong-candidate,True,False,False,False,False,False
20110323900724,20110323,054150,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_wrong_candidate_quarantined|manual_review_required,,,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,,rejected_wrong_candidate_quarantine,scored candidate not body-confirmed; quarantined; human confirms wrong-candidate,True,False,False,False,False,False
20110324800049,20110324,016160,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110325801948,20110325,950070,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110328800872,20110328,014590,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110331902711,20110331,037020,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_wrong_candidate_quarantined|manual_review_required,,,rejected_wrong_candidate,rejected_wrong_candidate_quarantined,,rejected_wrong_candidate_quarantine,scored candidate not body-confirmed; quarantined; human confirms wrong-candidate,True,False,False,False,False,False
20110406900111,20110406,090120,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110407800122,20110407,005440,resumption_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_high_validated_design_only|manual_review_required,,,high_validated,accepted_high_validated_design_only,yes,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110411900648,20110411,052510,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110412800376,20110412,012160,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_value_in_unhandled_format,,,,,parser_unhandled_format,label present; value in relative/non-ISO/unhandled format; human can interpret,True,False,False,False,False,False
20110412800404,20110412,001470,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110414900462,20110414,052880,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110415800136,20110415,005900,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110506800018,20110506,105380,resumption_related,False,label_no_value,usable_html_inline,parser_label_no_value|manual_review_required,label_present_but_attachment_or_table_context_required,,,,,parser_table_or_attachment_context,html_inline body; value in table/attachment context; human can read body to extract,True,False,False,False,False,False
20110506800027,20110506,105380,resumption_related,True,label_no_value,usable_html_inline,parser_label_no_value|correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,correction_disclosure_manual_only,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110512900210,20110512,007390,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110531800008,20110531,000800,resumption_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_no_link_original_not_found|manual_review_required,,,no_link,no_link_original_not_found,,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110614900389,20110614,050640,suspension_related,True,extracted,usable_html_inline,correction_manual_review_required|correction_body_confirmed_below_high|manual_review_required,,,medium_needs_manual,body_confirms_candidate_but_below_high,blocked,correction_manual_review,correction disclosure; non-authoritative; human adjudicates linkage,True,False,False,False,False,False
20110620900407,20110620,061140,suspension_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110622900185,20110622,026150,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110727900331,20110727,950030,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
20110817900464,20110817,066690,resumption_related,False,no_label_match,usable_html_inline,parser_no_label_match|manual_review_required,only_generic_or_contextual_label,,,,,parser_generic_or_contextual_label,html_inline body mentions domain terms but no exact date label; human can locate value,True,False,False,False,False,False
