filename,sha256,source_path,source_class,has_change_detail_sheet,has_korea_valueup_sheet,sheets,kospi200_row_count,snapshot_only,candidate_bbs_seq,candidate_review_cycle,mapping_confidence,basis,filename_hints,markers_summary,parse_eligibility,next_action,caveat
"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,"/home/jin/code/quant/research_input_data/정기변경/21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",A_KRX_xlsx_with_change_detail,yes,no,KOSPI 200 변경내역|KOSPI 200 구성종목|KOSDAQ 150 변경내역|KOSDAQ 150 구성종목|KRX 300 변경내역|KRX 300 구성종목,200,no,734,2021-06,high,filename token 21.06 matches 2021-06 review (bbsSeq=734),21.06,298020=1|298050=1|302440=1|259960=0|377300=0|377740=0|373220=0|450080=0|095870=0|005930=1,primary_change_detail_parse,parse_class_A_kospi200_rows,change_detail_format
"(보도+첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",2af53cd63d996c3fb11acda60a9ec3848d93df35465b583e02984a04ffe41ee5,"/home/jin/code/quant/research_input_data/정기변경/(보도+첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2022-01 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=0|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
(보도자료+첨부)+지수별구성종목현황.xlsx,dba82397e46ed1081f955caf451066ad1e9828308bea9796717602cd031ef1b1,/home/jin/code/quant/research_input_data/정기변경/(보도자료+첨부)+지수별구성종목현황.xlsx,B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목|Sheet2,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2021-08 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=0|450080=0|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황 (1).xlsx",a80b67a937f65fd4a0bc2a4b62ee8fa5f6707ebc999bec2893a93a1c08e64718,"/home/jin/code/quant/research_input_data/정기변경/(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황 (1).xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2022-01 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=0|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황.xlsx",62f5385fc780f73c28146d2b471edfd35d49fec0a6e7eb9ac6cb98672ca9bd30,"/home/jin/code/quant/research_input_data/정기변경/(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황.xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2022-01 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=0|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (1).xlsx",676c59bb753a4632489b3f2c9d11c6479fb3396af47eb2563c907b161a299692,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (1).xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2023-12 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=1|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (2).xlsx",1c823a0f07d113fbfb7dcc340c9863c9d1d1dc90ca6f2271e4e8cd5e4e47ffb0,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (2).xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2023-12 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=1|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (3).xlsx",73daff6201ce73c2112011ab61d3b00586fd1c78a2cb6543ac342aa1a156706a,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (3).xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,199,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2023-12 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers); KOSPI200 row count = 199 (expected 200 — unusual)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=1|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",aadaff748e7f21991166e04f74fce1697e62b7c904d079d845033482ed7f62c3,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,200,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2022-01 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=0|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX300+구성종목+정기변경.xlsx",d2d8a065e64d365eb744dcfeae16b9dde98b5ef56ec0cc07b0f38e32a23b1bc3,"/home/jin/code/quant/research_input_data/정기변경/(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX300+구성종목+정기변경.xlsx",B_KRX_xlsx_snapshot_only,no,no,KOSPI 200 구성종목|KOSDAQ 150 구성종목|KRX 300 구성종목,199,yes,,,needs_user_cycle_confirmation,"earliest_lower_bound from markers: 2023-12 (at-least, not exact); snapshot-only file; cycle identification requires direct match against KRX notice REG_DT (not just markers); KOSPI200 row count = 199 (expected 200 — unusual)",,298020=1|298050=1|302440=1|259960=1|377300=1|377740=0|373220=1|450080=1|095870=0|005930=1,snapshot_table_only_if_confirmed,request_user_cycle_confirmation,snapshot_only_format__cycle_identification_required_per_Referee_clarification
