filename,local_path,bytes,sha256,source_url,retrieved_at_utc,artifact_kind,license_note,parse_status
krx_notice_board_root.html,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/krx_notice_board_root.html,465403,7a97189917b33682d62877f96ddb29941854c340768c7f0602db69b499862a6b,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S1.cmd?boardId=MDCINFO005,2026-05-28T02:55:00Z,board_landing_html,KRX public landing page — for endpoint discovery only,discovery_only
krx_board_search_kospi200_p1.html,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/krx_board_search_kospi200_p1.html,2952,60206037d44be1558a87c22a2b84751a064abebafbd89a69faed95977048a42f,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S1D1.cmd (initial probe),2026-05-28T03:00:00Z,endpoint_probe_error_html,KRX server error page (probe artifact),probe_artifact
krx_board_get_S1D1_p1.html,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/krx_board_get_S1D1_p1.html,2952,60206037d44be1558a87c22a2b84751a064abebafbd89a69faed95977048a42f,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S1D1.cmd (initial probe),2026-05-28T03:00:00Z,endpoint_probe_error_html,KRX server error page (probe artifact),probe_artifact
krx_board_list_kospi200.json,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/krx_board_list_kospi200.json,60845,500f541669c6b3b02f08eb70a9cc0e8d8553686f3469efd509f81ba6978cc321,"https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S1D1.cmd (titleContn=KOSPI200, pageSize=200)",2026-05-28T03:01:00Z,notice_metadata_json,KRX public notice metadata — non-commercial research/reconciliation use,parsed
krx_board_list_jeonggi.json,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/krx_board_list_jeonggi.json,156189,32d057867f4c7af0cdb24ee41640f15461902e1947798ca59633c7016fa63f8b,"https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S1D1.cmd (titleContn=정기변경, pageSize=500)",2026-05-28T03:01:30Z,notice_metadata_json,KRX public notice metadata — non-commercial research/reconciliation use,parsed
krx_board_all.json,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/krx_board_all.json,290580,850427f6e461c81eccfc453fba4c9e32f014a50d2cce008de060ad0e1f99cc70,"https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S1D1.cmd (titleContn=, pageSize=1000)",2026-05-28T03:01:45Z,notice_metadata_json_full_board,KRX public notice metadata — non-commercial research/reconciliation use,parsed_authoritative_metadata
sample_detail_1090.html,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/sample_detail_1090.html,453044,a566926ea06adf6d131d8a4ca2ca2034b526e444f754230da61bc58eff48b037,https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=1090,2026-05-28T03:02:00Z,detail_page_sample,KRX public notice — for endpoint structure discovery only,discovery_only
kospi200_notice_index.json,/home/jin/code/quant/data/acquired/bx01_kospi200_index_event_source_a0/raw/kospi200_notice_index.json,25465,acf6acf92ae26d113881342c6847fe011f120ca4801b2a21e43399e75bb886b7,(derived from krx_board_all.json — local filter),2026-05-28T03:01:50Z,derived_notice_index,derived from KRX public notice metadata; local-only filter on title (정기변경 + 수시변경 + 특별변경 + 특례편입),parsed
18.6.hwp,/home/jin/code/quant/research_input_data/정기변경/18.6.hwp,327680,e6c055ed646b34fce301cac9fe5429fad6b16642f02d2a418e0b2031065e0e80,user_supplied_from_KRX_MDCINFO005_bbsSeq=555,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,deferred_per_Referee_hwp_parse_out_of_scope
18.12.hwp,/home/jin/code/quant/research_input_data/정기변경/18.12.hwp,307200,ed293b637bafda782d7d1b462be3f626896c073e15056afe85a3da00c271c4eb,user_supplied_not_in_tier1_cycle=2018-12,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,deferred_per_Referee_hwp_parse_out_of_scope__not_in_tier1
19.6.hwp,/home/jin/code/quant/research_input_data/정기변경/19.6.hwp,327168,e6a2490ed9a46199100263c066a22a11490382220d56f49a66a3a20d0654024b,user_supplied_from_KRX_MDCINFO005_bbsSeq=613,2026-05-30T15:08:02.968152+00:00,user_supplied_attachment,KRX public press notice — non-commercial research/reconciliation use,deferred_per_Referee_hwp_parse_out_of_scope
