target_bbs_seq,expected_cycle,expected_reg_dt,user_supplied_file,sha256,source_class,mapping_confidence,basis_for_mapping,parse_eligibility,actual_parse_status,caveat
555,2018-06,2018-05-24,18.6.hwp,e6c055ed646b34fce301cac9fe5429fad6b16642f02d2a418e0b2031065e0e80,C_KRX_hwp_press_release_body_text,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_18.6_authoritative_cycle_mapping_per_Referee_2026-05-30_clarification,deferred_hwp_parse_out_of_scope_this_phase,skeleton_only_not_parsed,hwp body parser not in scope per Referee 2026-05-30; evidence-only; separate user+Referee decision required
613,2019-06,2019-05-21,19.6.hwp,e6a2490ed9a46199100263c066a22a11490382220d56f49a66a3a20d0654024b,C_KRX_hwp_press_release_body_text,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_19.6_authoritative_cycle_mapping,deferred_hwp_parse_out_of_scope_this_phase,skeleton_only_not_parsed,hwp body parser not in scope; evidence-only
667,2020-06,2020-05-27,20.6.pdf,f5d69a3682bfd422438efebf0e3830832bd3d08d8e8ddd0fe8dbd0851b49057b,D_secondary_broker_pdf_user_supplied,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_20.6_authoritative_cycle_mapping,deferred_broker_pdf_secondary_only_per_Referee,skeleton_only_not_parsed,broker publication; secondary source authority; not record-of-record per Referee 2026-05-30
696,2020-12,2020-11-25,20.12.pdf,d8da037c003edcaef79b221cdf1f9499291523d8f43394be5772394967da5df6,D_secondary_broker_pdf_user_supplied,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_20.12_authoritative_cycle_mapping,deferred_broker_pdf_secondary_only_per_Referee,skeleton_only_not_parsed,broker publication; secondary source authority
734,2021-06,2021-05-25,21.6.xlsx,af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,A_KRX_xlsx_with_change_detail,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_21.6_authoritative_cycle_mapping; also '21.06+KOSPI...공지파일.xlsx' identical sha=af327b2c2bef… kept as duplicate,primary_direct_parse_class_a_eligible,parsed_direct_change_detail_sheet_kospi200_변경내역,+5 add / -7 del; independent secondary cross-check matches news summary; 5/12 ticker confirmed in PIT listing
774,2021-12,2021-11-24,21.12.xlsx,dba82397e46ed1081f955caf451066ad1e9828308bea9796717602cd031ef1b1,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_21.12_authoritative_cycle_mapping,secondary_derived_class_b_eligible_with_consecutive_snapshot_diff,parsed_via_consecutive_official_snapshot_diff_vs_21.6_snapshot,+10 add / -10 del; CONFLATION CAVEAT: includes 크래프톤/카카오뱅크 (2021-08 special) + 카카오페이 (2021-11 special)
799,2022-06,2022-05-24,22.6.xlsx,62f5385fc780f73c28146d2b471edfd35d49fec0a6e7eb9ac6cb98672ca9bd30,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_22.6_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_21.12_snapshot,+8 add / -8 del; CONFLATION CAVEAT: includes LG에너지솔루션 (2022-01 special)
861,2023-06,2023-05-18,23.6.xlsx,2af53cd63d996c3fb11acda60a9ec3848d93df35465b583e02984a04ffe41ee5,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_23.6_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_22.12_bridge_snapshot,+5 add / -5 del; bridged via 22.12 snapshot (not in Tier 1)
899,2023-12,2023-11-23,23.12.xlsx,aadaff748e7f21991166e04f74fce1697e62b7c904d079d845033482ed7f62c3,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_23.12_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_23.6_snapshot,+8 add / -8 del; CONFLATION CAVEAT: includes 에코프로머티 (2023-12 special)
939,2024-06,2024-05-24,24.6.xlsx,676c59bb753a4632489b3f2c9d11c6479fb3396af47eb2563c907b161a299692,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_24.6_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_23.12_snapshot,+8 add / -8 del; CONFLATION CAVEAT: includes 포스코DX (2024-01 special)
979,2024-12,2024-11-21,24.12.xlsx,1c823a0f07d113fbfb7dcc340c9863c9d1d1dc90ca6f2271e4e8cd5e4e47ffb0,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_24.12_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_24.6_snapshot,+5 add / -5 del
1015,2025-06,2025-05-27,25.6.xlsx,519d97e0da0deb1a35a72113649440977e3dffd3d4069144fe7c334a1f19a113,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_25.6_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_24.12_snapshot,+9 add / -9 del
1050,2025-12,2025-11-18,25.12.xlsx,d2d8a065e64d365eb744dcfeae16b9dde98b5ef56ec0cc07b0f38e32a23b1bc3,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_25.12_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_25.6_snapshot,+7 add / -8 del; KOSPI 200 row count 199 (delisting unfilled until next cycle)
1090,2026-06,2026-05-22,26.6.xlsx,73daff6201ce73c2112011ab61d3b00586fd1c78a2cb6543ac342aa1a156706a,B_KRX_xlsx_snapshot_only,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename_to_26.6_authoritative_cycle_mapping,secondary_derived_class_b_eligible,parsed_via_consecutive_official_snapshot_diff_vs_25.12_snapshot,+5 add / -5 del; KOSPI 200 row count 199
,2018-12,(not in Tier 1),18.12.hwp,ed293b637bafda782d7d1b462be3f626896c073e15056afe85a3da00c271c4eb,C_KRX_hwp_press_release_body_text,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename; not in Tier 1 target list,deferred_hwp_parse_out_of_scope_and_not_in_tier1,skeleton_only_not_parsed,hwp body parser deferred + not in Tier 1; evidence-only
,2019-12,(not in Tier 1),19.12.hwp,d0f3ac4f43dad80230fc69f025df3108a2b0b29f6488fe80a67dd240a30e0d7e,C_KRX_hwp_press_release_body_text,high (user_renamed_filename_to_cycle_authoritative_per_Referee_2026-05-30_clarification),user_renamed_filename; not in Tier 1 target list,deferred_hwp_parse_out_of_scope_and_not_in_tier1,skeleton_only_not_parsed,hwp body parser deferred + not in Tier 1; evidence-only
