event_id,review_cycle,announcement_dt,announcement_time,effective_dt,index_name,side,ticker,company_name,source_class,source_id_or_url,source_file,source_file_sha256,source_note,parse_status,caveat
BX01-PARSE-734-ADD-01,2021-06,2021-05-25,,,KOSPI 200,addition,001440,대한전선,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-ADD-02,2021-06,2021-05-25,,,KOSPI 200,addition,006040,동원산업,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-ADD-03,2021-06,2021-05-25,,,KOSPI 200,addition,298020,효성티앤씨,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-ADD-04,2021-06,2021-05-25,,,KOSPI 200,addition,298050,효성첨단소재,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-ADD-05,2021-06,2021-05-25,,,KOSPI 200,addition,302440,SK바이오사이언스,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-DEL-06,2021-06,2021-05-25,,,KOSPI 200,deletion,005180,빙그레,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-DEL-07,2021-06,2021-05-25,,,KOSPI 200,deletion,005610,SPC삼립,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-DEL-08,2021-06,2021-05-25,,,KOSPI 200,deletion,006390,한일현대시멘트,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-DEL-09,2021-06,2021-05-25,,,KOSPI 200,deletion,008350,남선알미늄,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
BX01-PARSE-734-DEL-10,2021-06,2021-05-25,,,KOSPI 200,deletion,009410,태영건설,A_KRX_xlsx_with_change_detail,KRX MDCINFO005 bbsSeq=734 (https://data.krx.co.kr/contents/MDC/COMS/board/MDCCOMS010_S2.cmd?boardId=MDCINFO005&cmBbsId=MKD01040000&bbsSeq=734),"21.06+KOSPI+200,+KOSDAQ+150,+KRX+300+공지파일.xlsx",af327b2c2befeb57d8dd7506b1e45a8c9f04d1c237896d1ac74f3ac8501d2810,user_supplied_from_KRX_MDCINFO005_bbsSeq=734,parsed_direct_from_kospi200_변경내역_sheet,ticker is 6-digit KRX format from attachment; ISIN cross-check not yet performed; listing-name cross-check against listing-universe-A0 outputs not yet performed; effective_dt blank because not present in attachment (Referee rule: no rule/convention fill)
