filename,sha256_short,bytes,kospi200_row_count,has_valueup_sheet,earliest_cycle_at_least,possible_bbs_seq,possible_cycles,filename_year_hints,marker_evidence_short,proposed_bbs_seq,proposed_cycle,proposed_reg_dt,confidence,user_confirmation_needed
"(보도+첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",2af53cd63d99,29383,200,no,2022-01,799|861|899|939|979|1015|1050|1090,2022-06(799)|2023-06(861)|2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,799,2022-06,2022-05-24,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
(보도자료+첨부)+지수별구성종목현황.xlsx,dba82397e46e,31700,200,no,2021-08,774|799|861|899|939|979|1015|1050|1090,2021-12(774)|2022-06(799)|2023-06(861)|2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | absent:after-delete 005180 빙그레 deleted 2021-06,774,2021-12,2021-11-24,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황 (1).xlsx",a80b67a937f6,28316,200,no,2022-01,799|861|899|939|979|1015|1050|1090,2022-06(799)|2023-06(861)|2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,799,2022-06,2022-05-24,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(보도첨부자료)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+현황.xlsx",62f5385fc780,32879,200,no,2022-01,799|861|899|939|979|1015|1050|1090,2022-06(799)|2023-06(861)|2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,799,2022-06,2022-05-24,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (1).xlsx",676c59bb753a,29868,200,no,2023-12,899|939|979|1015|1050|1090,2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,899,2023-12,2023-11-23,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (2).xlsx",1c823a0f07d1,30106,200,no,2023-12,899|939|979|1015|1050|1090,2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,899,2023-12,2023-11-23,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경 (3).xlsx",73daff6201ce,30142,199,no,2023-12,899|939|979|1015|1050|1090,2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,899,2023-12,2023-11-23,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX+300+구성종목+정기변경.xlsx",aadaff748e7f,29829,200,no,2022-01,799|861|899|939|979|1015|1050|1090,2022-06(799)|2023-06(861)|2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,799,2022-06,2022-05-24,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(붙임)+KOSPI+200,+KOSDAQ+150+및+KRX300+구성종목+정기변경.xlsx",d2d8a065e64d,30357,199,no,2023-12,899|939|979|1015|1050|1090,2023-12(899)|2024-06(939)|2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,899,2023-12,2023-11-23,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
"(붙임)+KOSPI+200,+KOSDAQ+150,+KRX300+및+코리아+밸류업+구성종목+정기변경.xlsx",519d97e0da0d,32874,200,yes,2023-12,979|1015|1050|1090,2024-12(979)|2025-06(1015)|2025-12(1050)|2026-06(1090),,✓ 298020 효성티앤씨 added 2018-06 | ✓ 298050 효성첨단소재 added 2018-06 | ✓ 302440 SK바이오사이언스 added 2021-06 | ✓ 259960 크래프톤 added 2021-08 | ✓ 377300 카카오뱅크 added 2021-08 | ✓ 373220 LG에너지솔루션 added 2022-01,979,2024-12,2024-11-21,multiple_candidates_user_must_confirm,YES — please confirm/correct proposed_bbs_seq
