sector,XLE,XLF,XLK,XLV,XLP,XLU,XLI,XLY,XLB,XLRE,XLC
XLE,1.0,0.589869787303969,0.4718780737722304,0.5045434150666679,0.4765478419379052,0.5072389715220182,0.6566152691844745,0.53394128673053,0.6870522627724099,0.43722570306810304,0.4364031615301078
XLF,0.589869787303969,1.0,0.6433185381097489,0.6425515867088526,0.5933344751967679,0.5267982418720497,0.7904439232067633,0.749984370999332,0.7053976146450623,0.6384035426867725,0.6789896256421425
XLK,0.4718780737722304,0.6433185381097489,1.0,0.6741541442370557,0.5138887537164679,0.48671747938495863,0.745191349684535,0.7540913971464643,0.6228906253127316,0.5702367404238984,0.8203801684466271
XLV,0.5045434150666679,0.6425515867088526,0.6741541442370557,1.0,0.6904916686399754,0.6054376801173805,0.7394820317813384,0.7024493815773076,0.6505540766408642,0.6569374434025166,0.6493128115386542
XLP,0.4765478419379052,0.5933344751967679,0.5138887537164679,0.6904916686399754,1.0,0.6688396520671979,0.6654071369785268,0.6405128110903889,0.6026342791055432,0.6988927566807771,0.5660194370831899
XLU,0.5072389715220182,0.5267982418720497,0.48671747938495863,0.6054376801173805,0.6688396520671979,1.0,0.6016231432636627,0.5353477555565632,0.557520677694371,0.7478135699148131,0.462682470368042
XLI,0.6566152691844745,0.7904439232067633,0.745191349684535,0.7394820317813384,0.6654071369785268,0.6016231432636627,1.0,0.8163163179942461,0.8288492361160766,0.6841411069250098,0.6959664360226946
XLY,0.53394128673053,0.749984370999332,0.7540913971464643,0.7024493815773076,0.6405128110903889,0.5353477555565632,0.8163163179942461,1.0,0.7276559140681435,0.6328137678764983,0.8165650979005731
XLB,0.6870522627724099,0.7053976146450623,0.6228906253127316,0.6505540766408642,0.6026342791055432,0.557520677694371,0.8288492361160766,0.7276559140681435,1.0,0.6598101791340676,0.6662125768431386
XLRE,0.43722570306810304,0.6384035426867725,0.5702367404238984,0.6569374434025166,0.6988927566807771,0.7478135699148131,0.6841411069250098,0.6328137678764983,0.6598101791340676,1.0,0.6015432068103072
XLC,0.4364031615301078,0.6789896256421425,0.8203801684466271,0.6493128115386542,0.5660194370831899,0.462682470368042,0.6959664360226946,0.8165650979005731,0.6662125768431386,0.6015432068103072,1.0
