event_id,review_cycle,ticker,company_name,index_name,side,announcement_dt,effective_dt_design,entry_dt_design,exit_dt_candidate_T_plus_5,exit_dt_candidate_T_plus_10,exit_dt_candidate_effective_minus_1,pit_sector_label_for_matched_control_design,source_record_type,effective_dt_confidence,title_link_status,conflation_status,sample_role,caveat
BX01-PARSE-734-DEL-06,2021-06,005180,빙그레,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,음식료·담배,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-DEL-07,2021-06,005610,SPC삼립,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,음식료·담배,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-DEL-08,2021-06,006390,한일현대시멘트,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,비금속,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-DEL-09,2021-06,008350,남선알미늄,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,금속,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-DEL-10,2021-06,009410,태영건설,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,건설,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-DEL-11,2021-06,018250,애경산업,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,화학,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-PARSE-734-DEL-12,2021-06,145990,삼양사,KOSPI 200,deletion,2021-05-25,2021-06-11,2021-05-26,2021-06-01,2021-06-08,2021-06-10,음식료·담배,class_a_direct_primary,primary,not_applicable,clean,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0011,2021-12,001060,JW중외제약,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,제약,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0012,2021-12,003230,삼양식품,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,음식료·담배,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0013,2021-12,007570,일양약품,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,제약,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0014,2021-12,007700,F&F 홀딩스,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,섬유·의류,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0015,2021-12,012630,HDC,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,기타금융,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0016,2021-12,071840,롯데하이마트,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,유통,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0017,2021-12,108670,LG하우시스,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,화학,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0018,2021-12,115390,락앤락,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,화학,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0019,2021-12,214320,이노션,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,일반서비스,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
BX01-DIFF-774-0020,2021-12,383800,LX홀딩스,KOSPI 200,deletion,2021-11-24,2021-12-10,2021-11-25,2021-12-01,2021-12-08,2021-12-09,기타금융,class_b_snapshot_diff_derived,provisional_secondary_rulebook_derived,no_title_link,unresolved,negative_control_candidate_only,"design-only timing labels; no price/return computed; canonical effective_dt remains blank in events_v3 and not modified here; effective_dt_design uses provisional secondary rulebook basis except Class A direct; PIT sector label is for matched-control design only, not used for return calc"
