date,one_way_turnover,buy_amount_krw,sell_amount_krw,commission_krw,capital_gains_tax_krw,frequency,label,quarter,year,average_quarterly_turnover,annual_turnover,average_annual_turnover
2010-02-01,0.014181848748112073,1277512.7396461368,1527512.739646148,7012.563698230711,0.0,monthly,Monthly,2010Q1,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-03-01,0.006555297630264806,652082.0069154166,659094.5706136413,3277.941443822645,0.0,monthly,Monthly,2010Q1,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-04-01,0.014014991341604383,1379609.689523805,1439740.016751051,7048.37426568714,0.0,monthly,Monthly,2010Q2,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-05-03,0.00356947637988649,360343.86206201836,367392.2363277115,1819.3402459743247,0.0,monthly,Monthly,2010Q2,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-06-01,0.028576875440914386,2987355.5073621236,2989174.8476081076,14941.325887425579,0.0,monthly,Monthly,2010Q2,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-07-01,0.015302359025075705,1550536.7978268042,1626259.903843224,7941.991754175071,0.0,monthly,Monthly,2010Q3,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-08-02,0.017297778118830757,1814623.7734817304,1822565.765235912,9092.973846794106,0.0,monthly,Monthly,2010Q3,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-09-01,0.013632238057045588,1424686.1728922501,1433779.1467390433,7146.163299078234,0.0,monthly,Monthly,2010Q3,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-10-01,0.012538771116531863,1284489.4974231161,1351140.8024978936,6589.075749802524,0.0,monthly,Monthly,2010Q4,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-11-01,0.010480356781704149,1113065.360671185,1119654.436420977,5581.799492730405,0.0,monthly,Monthly,2010Q4,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2010-12-01,0.010644667712337096,1162233.2443138622,1167815.0438065864,5825.120720301122,0.0,monthly,Monthly,2010Q4,2010,0.011572766035018821,0.1467946603523073,0.13273394275215206
2011-01-03,0.013882484534713153,1485301.602120649,1552877.2346972637,7595.447092044782,0.0,monthly,Monthly,2011Q1,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-02-01,0.006463804529128273,708571.5377135165,716166.9848055616,3561.8463062976953,0.0,monthly,Monthly,2011Q1,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-03-01,0.0019117471497650282,210643.39728049934,214205.24358680472,1062.12160216826,0.0,monthly,Monthly,2011Q1,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-04-01,0.005619912915042249,581481.2192146145,645085.4912477396,3066.4167761558856,0.0,monthly,Monthly,2011Q2,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-05-02,0.001653542511466816,179198.7372951582,182265.1540713273,903.6597284162137,0.0,monthly,Monthly,2011Q2,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-06-01,0.012414539441349083,1360116.568750538,1361020.2284789495,6802.841993073719,0.0,monthly,Monthly,2011Q2,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-07-01,0.007003201775684161,730371.7803979069,799088.6446299106,3823.6510625695437,0.0,monthly,Monthly,2011Q3,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-08-01,0.013166905711781932,1421297.7708066367,1425121.4218692183,7116.047981689638,0.0,monthly,Monthly,2011Q3,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-09-01,0.02193549269575346,2353757.2023525015,2360873.2503341846,11786.576131716716,0.0,monthly,Monthly,2011Q3,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
2011-10-03,0.023263435923864068,2597573.9542999454,2677546.1215399057,13187.800189599628,0.0,monthly,Monthly,2011Q4,2011,0.011572766035018821,0.13404628106759847,0.13273394275215206
