bbs_seq,reg_dt,event_sub_class,title_short,attach_format,acquired,source_class,parsed_row_count,confidence_or_blocker,blocker_or_defer_reason
159,2010-01-22,special_change_pre_2017_naming,KOSPI 200 구성종목 특별변경 공지(한국기술산업 관련),hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
160,2010-02-24,special_change_pre_2017_naming,KOSPI 200 구성종목 특별변경 안내(변경일 : 2010.2.25 목),no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
164,2010-03-31,special_change_pre_2017_naming," KOSPI 200, KRX Autos 특별변경",no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
173,2010-06-25,special_inclusion,삼성생명보험(주)의 KOSPI200 등 6개 지수 특례편입,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
192,2011-03-07,special_change_pre_2017_naming,KOSPI 200 등 8개지수 특별변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
194,2011-03-11,special_deletion,대구은행 상장폐지일정 변경에 따른 KOSPI200 등 주요지수 특별변경 일정 변경안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
249,2012-12-12,special_change_pre_2017_naming,KOSPI 200 등 지수 구성종목 특별변경,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
253,2012-12-31,special_change_pre_2017_naming,KOSPI 200 지수 구성종목 특별변경,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
260,2013-03-22,special_change_pre_2017_naming,KOSPI 200 구성종목 특별변경 예고,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
261,2013-03-28,special_deletion,외환은행 상장폐지에 따른 KOSPI 200 등 지수 구성종목 특별변경 예고,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
262,2013-04-02,special_change_pre_2017_naming,KOSPI 200 지수 구성종목 특별변경,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
264,2013-04-18,special_change_pre_2017_naming,KOSPI 200 등 지수 구성종목 특별변경 예고,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
265,2013-04-23,special_change_pre_2017_naming,KOSPI 200 등 지수 구성종목 특별변경,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
271,2013-06-07,special_change_pre_2017_naming,KOSPI 200 등 지수 구성종목 특별변경,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
274,2013-07-08,special_change_pre_2017_naming,KOSPI 200 등 6개 주가지수 구성종목의 유동비율 특별변경,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
280,2013-08-16,special_deletion,코스피 200 등 지수 구성종목 특별변경(STX조선해양의 관리종목지정),hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
282,2013-08-29,special_deletion,KOSPI 200 등 지수 구성종목 특별변경(STX 관리종목지정),hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
286,2013-09-30,special_change_pre_2017_naming,KOSPI 200 등 지수 구성종목 특별변경,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
294,2014-02-10,special_change_pre_2017_naming,코스피 200 등 지수 구성종목 특별변경 방법 개선,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
300,2014-03-24,special_deletion,KOSPI 200 등 지수 구성종목 특별변경(STX엔진 관리종목지정),no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
301,2014-04-01,special_deletion,KOSPI 200 등 지수 구성종목 특별변경 확정 (STX엔진 관리종목지정 관련),hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
314,2014-06-27,special_deletion,KOSPI 200 등 지수 구성종목 특별변경 (제일모직 피흡수합병),hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
319,2014-08-28,special_split,코스피200 구성종목의 기업분할시 특별변경 ,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
330,2014-10-22,special_change_pre_2017_naming,우리금융지주와 우리은행 합병에 따른 KOSPI 200 등 13개 지수 특별변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
362,2014-12-16,special_inclusion,신규상장종목의 코스피 200 특례편입제도 개선,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
367,2014-12-26,special_inclusion,삼성에스디에스(주)의 KOSPI200 등 4개 지수 특례편입,hwp,NO,n/a,0,deferred_format_HWP_not_in_structured_xlsx_csv_html_table_scope,format_HWP__directive_explicitly_forbids_HWP_parser_phase__deferred
368,2015-01-12,special_inclusion,제일모직(주)의 KOSPI200 등 4개 지수 특례편입,pdf,NO,n/a,0,deferred_PDF_constituent_parse_requires_separate_halt_escalate_per_file,format_PDF__directive_requires_halt_escalate_per_file_with_extraction_method__not_invoked_for_this_event
381,2015-03-26,special_change_pre_2017_naming,코스피 200 등 지수 구성종목 특별변경,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
397,2015-06-22,special_deletion,코스피 200 등 구성종목 특별변경(현대하이스코 피흡수합병) ,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
407,2015-07-27,special_deletion,코스피200 등 구성종목 특별변경(SK 피흡수합병) 재공지,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
409,2015-08-18,special_deletion,코스피 200 등 구성종목 특별변경(삼성물산 피흡수합병),no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
410,2015-08-19,special_change_pre_2017_naming,코스피 200 필수소비재 구성종목 특별변경 ,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
450,2016-03-11,special_change_pre_2017_naming,코스피 200 등 지수 구성종목 특별변경,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
480,2016-10-12,supplemental_intra_period_change,KB금융과 현대증권의 주식교환에 따른 KOSPI 200 지수 등 구성종목 수시변경 및 지수조치 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
484,2016-10-28,supplemental_intra_period_change,대우조선해양 관련 KOSPI 200 지수 등 구성종목 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
493,2016-12-14,supplemental_intra_period_change,KOSPI 200 구성종목 간 합병에 따른 수시변경 및 지수조치 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
505,2017-03-30,special_deletion,코스피 200 등 지수 구성종목 수시변경(대우조선해양 관리종목 지정),no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
509,2017-05-23,special_split,(주)오리온 및 제일약품(주)의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
519,2017-07-28,special_inclusion,카카오 이전상장에 따른 코스피 200 등 지수 특례편입,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
525,2017-10-24,special_split,(주)BGF리테일 및 동아타이어공업(주)의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
527,2017-11-21,special_split,SK케미칼(주) 및 쿠쿠전자(주)의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
544,2018-03-06,special_inclusion,셀트리온 이전상장에 따른 코스피 200 등 지수 특례편입,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
547,2018-03-07,special_inclusion,셀트리온 코스피 200 등 특례편입 관련 가중치 및 CAP 수시조정,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
553,2018-04-20,special_split,현대산업개발의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
554,2018-05-23,special_split,효성의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
569,2018-06-21,special_split,한일시멘트 인적분할에 따른 KOSPI 200 수시변경 안내 ,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
578,2018-08-23,special_split,세아제강의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
593,2018-12-06,special_split,[재공지] 세아제강의 인적분할에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
759,2021-08-31,special_inclusion,크래프톤 신규상장에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
758,2021-08-31,special_inclusion,카카오뱅크 신규상장에 따른 KOSPI 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
773,2021-11-24,special_inclusion,카카오페이 신규상장에 따른 코스피200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
789,2022-02-22,special_inclusion,LG에너지솔루션 신규상장에 따른 코스피200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
907,2023-12-08,special_inclusion,에코프로머티 신규상장에 따른 코스피200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
921,2024-01-23,special_inclusion,포스코DX 이전상장에 따른 코스피 200 등 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
1020,2025-06-04,supplemental_intra_period_change,코스피 200 ESG 지수 수시변경 안내,no_attach,NO,n/a,0,no_structured_source_exists_no_attempt_possible,no_attachment_only_title_metadata__no_structured_source_exists_to_acquire
