rebalance_period_end,available_date,execution_date,ticker,sector,quality_score,rank,weight,entry_close
2012-03-31,2012-05-05,2012-05-07,UNH,Hospital & Medical Service Plans,5.86166679503854,1,0.03333333333333333,43.98545837402344
2012-03-31,2012-05-05,2012-05-07,MCD,Retail-Eating  Places,2.902466524352807,2,0.03333333333333333,65.73583984375
2012-03-31,2012-05-05,2012-05-07,MSFT,Services-Prepackaged Software,1.7237941554589737,3,0.03333333333333333,24.10713577270508
2012-03-31,2012-05-05,2012-05-07,MA,"Services-Business Services, NEC",1.6254950202392051,4,0.03333333333333333,40.21076965332031
2012-03-31,2012-05-05,2012-05-07,GILD,"Biological Products, (No Diagnostic Substances)",1.4779388987592648,5,0.03333333333333333,17.23615837097168
2012-03-31,2012-05-05,2012-05-07,SBUX,Retail-Eating & Drinking Places,1.2701462214415884,6,0.03333333333333333,21.19735145568848
2012-03-31,2012-05-05,2012-05-07,SPGI,"Services-Consumer Credit Reporting, Collection Agencies",0.8232918753945855,7,0.03333333333333333,39.52089309692383
2012-03-31,2012-05-05,2012-05-07,CVX,Petroleum Refining,0.7806573139787807,8,0.03333333333333333,58.14188003540039
2012-03-31,2012-05-05,2012-05-07,KO,Beverages,0.7582034029468372,9,0.03333333333333333,25.081043243408203
2012-03-31,2012-05-05,2012-05-07,NKE,Rubber & Plastics Footwear,0.6028333870376208,10,0.03333333333333333,23.22284698486328
2012-03-31,2012-05-05,2012-05-07,V,"Services-Business Services, NEC",0.5123380593356552,11,0.03333333333333333,26.743427276611328
2012-03-31,2012-05-05,2012-05-07,BMY,Pharmaceutical Preparations,0.4917266273449262,12,0.03333333333333333,21.040807723999023
2012-03-31,2012-05-05,2012-05-07,INTC,Semiconductors & Related Devices,0.45113377091184476,13,0.03333333333333333,19.47865867614746
2012-03-31,2012-05-05,2012-05-07,NFLX,Services-Video Tape Rental,0.44702831990929526,14,0.03333333333333333,1.0492860078811646
2012-03-31,2012-05-05,2012-05-07,BIIB,"Biological Products, (No Diagnostic Substances)",0.35570710220674506,15,0.03333333333333333,132.50999450683594
