pre_defect_id,pre_classification,pre_severity,file_path,line_number,column_name,patch_status,patch_evidence,post_rescan_classification,still_in_post_rescan_defect_ledger
QENF_00001,INVALID_ROW_LEAK,high,src/run_experiment.py,11573,거래대금추정,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent,INVALID_ROW_LEAK,true
QENF_00002,INVALID_ROW_LEAK,high,src/run_experiment.py,19368,KRX종가,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent,INVALID_ROW_LEAK,true
QENF_00003,MISSING_GUARD,medium,src/run_experiment.py,24433,시가총액추정,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent,MISSING_GUARD,true
QENF_00004,MISSING_GUARD,medium,src/run_experiment.py,24466,시가총액추정,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent,MISSING_GUARD,true
QENF_00005,MISSING_GUARD,medium,src/run_experiment.py,24471,시가총액추정,upstream_guarded,src.data.equity_panel.load_equity_panel emits valid_ohlcv_mask + src.backtest.engine.run_candidate_backtest fails closed if absent,MISSING_GUARD,true
QENF_00006,MISSING_GUARD,medium,src/backtest/engine.py,32,KRX종가,patched,explicit guard added in this phase (patched at src/backtest/engine.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00007,MISSING_GUARD,medium,src/backtest/engine.py,32,시가,patched,explicit guard added in this phase (patched at src/backtest/engine.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00008,INVALID_ROW_LEAK,high,src/backtest/engine.py,846,시가,patched,explicit guard added in this phase (patched at src/backtest/engine.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00009,INVALID_ROW_LEAK,high,src/backtest/engine.py,849,KRX종가,patched,explicit guard added in this phase (patched at src/backtest/engine.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00010,INVALID_ROW_LEAK,high,src/backtest/engine.py,863,KRX종가,patched,explicit guard added in this phase (patched at src/backtest/engine.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00011,MISSING_GUARD,medium,src/data/market_flow.py,10,kospi_foreign_net,patched,explicit guard added in this phase (patched at src/data/market_flow.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00012,MISSING_GUARD,medium,src/data/market_flow.py,10,kospi_institution_net,patched,explicit guard added in this phase (patched at src/data/market_flow.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00013,MISSING_GUARD,medium,src/data/market_flow.py,11,kospi_foreign_net,patched,explicit guard added in this phase (patched at src/data/market_flow.py),MISSING_GUARD,true
QENF_00014,MISSING_GUARD,medium,src/data/market_flow.py,11,kospi_institution_net,patched,explicit guard added in this phase (patched at src/data/market_flow.py),MISSING_GUARD,true
QENF_00015,MISSING_GUARD,medium,src/data/equity_panel.py,12,시가,patched,explicit guard added in this phase (patched at src/data/equity_panel.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00016,MISSING_GUARD,medium,src/data/equity_panel.py,13,KRX종가,patched,explicit guard added in this phase (patched at src/data/equity_panel.py),RESOLVED (no longer in defect ledger after rescan),false
QENF_00017,MISSING_GUARD,medium,src/data/equity_panel.py,26,통합거래량반영여부,patched,explicit guard added in this phase (patched at src/data/equity_panel.py),RESOLVED (no longer in defect ledger after rescan),false
